index,geometry,id,gid,sgg_nm_k,sgg_nm_e,sgg_cd,sido_nm_k,sido_nm_e,sido_cd,value,stats_year,raw_d_year
120325,"POLYGON ((967000 1856500, 967000 1857000, 967500 1857000, 967500 1856500, 967000 1856500))",120326,다바67a56b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.382,2020,202010
120523,"POLYGON ((967500 1855500, 967500 1856000, 968000 1856000, 968000 1855500, 967500 1855500))",120524,다바67b55b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.992,2020,202010
120524,"POLYGON ((967500 1856000, 967500 1856500, 968000 1856500, 968000 1856000, 967500 1856000))",120525,다바67b56a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.114,2020,202010
120525,"POLYGON ((967500 1856500, 967500 1857000, 968000 1857000, 968000 1856500, 967500 1856500))",120526,다바67b56b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.219,2020,202010
120526,"POLYGON ((967500 1857000, 967500 1857500, 968000 1857500, 968000 1857000, 967500 1857000))",120527,다바67b57a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,3.604,2020,202010
120721,"POLYGON ((968000 1854500, 968000 1855000, 968500 1855000, 968500 1854500, 968000 1854500))",120722,다바68a54b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.869,2020,202010
120722,"POLYGON ((968000 1855000, 968000 1855500, 968500 1855500, 968500 1855000, 968000 1855000))",120723,다바68a55a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,7.968,2020,202010
120723,"POLYGON ((968000 1855500, 968000 1856000, 968500 1856000, 968500 1855500, 968000 1855500))",120724,다바68a55b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.298,2020,202010
120724,"POLYGON ((968000 1856000, 968000 1856500, 968500 1856500, 968500 1856000, 968000 1856000))",120725,다바68a56a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.788,2020,202010
120725,"POLYGON ((968000 1856500, 968000 1857000, 968500 1857000, 968500 1856500, 968000 1856500))",120726,다바68a56b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.628,2020,202010
120726,"POLYGON ((968000 1857000, 968000 1857500, 968500 1857500, 968500 1857000, 968000 1857000))",120727,다바68a57a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.115,2020,202010
120727,"POLYGON ((968000 1857500, 968000 1858000, 968500 1858000, 968500 1857500, 968000 1857500))",120728,다바68a57b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.094,2020,202010
120921,"POLYGON ((968500 1854500, 968500 1855000, 969000 1855000, 969000 1854500, 968500 1854500))",120922,다바68b54b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,7.881,2020,202010
120922,"POLYGON ((968500 1855000, 968500 1855500, 969000 1855500, 969000 1855000, 968500 1855000))",120923,다바68b55a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.904,2020,202010
120923,"POLYGON ((968500 1855500, 968500 1856000, 969000 1856000, 969000 1855500, 968500 1855500))",120924,다바68b55b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.415,2020,202010
120924,"POLYGON ((968500 1856000, 968500 1856500, 969000 1856500, 969000 1856000, 968500 1856000))",120925,다바68b56a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.631,2020,202010
120925,"POLYGON ((968500 1856500, 968500 1857000, 969000 1857000, 969000 1856500, 968500 1856500))",120926,다바68b56b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.914,2020,202010
120926,"POLYGON ((968500 1857000, 968500 1857500, 969000 1857500, 969000 1857000, 968500 1857000))",120927,다바68b57a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.033,2020,202010
120927,"POLYGON ((968500 1857500, 968500 1858000, 969000 1858000, 969000 1857500, 968500 1857500))",120928,다바68b57b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.62,2020,202010
120928,"POLYGON ((968500 1858000, 968500 1858500, 969000 1858500, 969000 1858000, 968500 1858000))",120929,다바68b58a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.649,2020,202010
121103,"POLYGON ((969000 1845500, 969000 1846000, 969500 1846000, 969500 1845500, 969000 1845500))",121104,다바69a45b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,9.362,2020,202010
121104,"POLYGON ((969000 1846000, 969000 1846500, 969500 1846500, 969500 1846000, 969000 1846000))",121105,다바69a46a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,9.83,2020,202010
121105,"POLYGON ((969000 1846500, 969000 1847000, 969500 1847000, 969500 1846500, 969000 1846500))",121106,다바69a46b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,9.605,2020,202010
121106,"POLYGON ((969000 1847000, 969000 1847500, 969500 1847500, 969500 1847000, 969000 1847000))",121107,다바69a47a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,11.093,2020,202010
121110,"POLYGON ((969000 1849000, 969000 1849500, 969500 1849500, 969500 1849000, 969000 1849000))",121111,다바69a49a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,10.26,2020,202010
121111,"POLYGON ((969000 1849500, 969000 1850000, 969500 1850000, 969500 1849500, 969000 1849500))",121112,다바69a49b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,14.463,2020,202010
121112,"POLYGON ((969000 1850000, 969000 1850500, 969500 1850500, 969500 1850000, 969000 1850000))",121113,다바69a50a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.654,2020,202010
121122,"POLYGON ((969000 1855000, 969000 1855500, 969500 1855500, 969500 1855000, 969000 1855000))",121123,다바69a55a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.126,2020,202010
121123,"POLYGON ((969000 1855500, 969000 1856000, 969500 1856000, 969500 1855500, 969000 1855500))",121124,다바69a55b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.18,2020,202010
