index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS
44,환경부(한국자동차환경협회),LH 세종본부,11,DC콤보,세종특별자치시 ,가름로 ,세종특별자치시 가름로 238-1,24시간 이용가능,,급속(200kW동시),,"('36.49468870000027', '127.2645932999995')"
420,환경부(한국자동차환경협회),고복저수지 연기대첩비공원 주차장,1,DC콤보,세종특별자치시 ,연서면 ,세종특별자치시 연서면 용암리 208-5,24시간 이용가능,,급속(100kW멀티),,"('36.59959349999978', '127.22725089999949')"
973,환경부(한국자동차환경협회),금암리마을회관주차장,21,DC콤보,세종특별자치시 ,장군면 ,세종특별자치시 장군면 정자말길 6,24시간 이용가능,,급속(200kW동시),,"('36.438385000000245', '127.22032839999963')"
1666,환경부(한국자동차환경협회),도담동 싱싱장터주차장,21,DC콤보,세종특별자치시 ,보듬6로 ,세종특별자치시 보듬6로 16,24시간 이용가능,,급속(200kW동시),"주간 유료, 야간 무료","('36.51548869999969', '127.25912020000005')"
2196,환경부(한국자동차환경협회),명학일반산업단지 관리사무소,21,DC콤보,세종특별자치시 ,연동면 ,세종특별자치시 연동면 응암리 916,24시간 이용가능,,급속(200kW동시),,"('36.54077219999998', '127.33563749999936')"
2198,환경부(한국자동차환경협회),명학일반산업단지 근린공원 주차장,1,DC콤보,세종특별자치시 ,연동면 ,세종특별자치시 연동면 내판리 713,24시간 이용가능,,급속(100kW단독),,"('36.543736699999826', '127.32968869999964')"
2406,환경부(한국자동차환경협회),반곡동 수변공원,11,DC콤보,세종특별자치시 ,반곡동 ,세종특별자치시 반곡동 234-10 ,24시간 이용가능,,급속(200kW동시),,"('36.49216990000007', '127.29946630000012')"
2529,환경부(한국자동차환경협회),보람동 수변공원,11,DC콤보,세종특별자치시 ,보람동 ,세종특별자치시 보람동 624-1,24시간 이용가능,,급속(200kW동시),,"('36.4821080999997', '127.29089679999969')"
2817,환경부(한국자동차환경협회),산림자원연구소,21,DC콤보,세종특별자치시 ,금남면 ,세종특별자치시 금남면 산림박물관길 110,24시간 이용가능,,급속(200kW동시),,"('36.435701300000076', '127.22860249999991')"
2988,환경부(한국자동차환경협회),새롬동 복합커뮤니티 센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,새롬동 ,세종특별자치시 새롬동 341-72,24시간 이용가능,,급속(100kW멀티),,"('36.48461169999969', '127.25199279999987')"
3341,환경부(한국자동차환경협회),세종전통시장주차타워,1,DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 조치원6길 38 ,24시간 이용가능,,급속(100kW단독),미정,"('36.599767099999795', '127.29931299999954')"
3343,환경부(한국자동차환경협회),세종정부청사 13-2동,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 402,24시간 이용가능,,급속(100kW멀티),,"('36.49963870000011', '127.25910079999935')"
3344,환경부(한국자동차환경협회),세종정부청사 6동,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도움6로 ,세종특별자치시 도움6로 11,24시간 이용가능,,급속(100kW멀티),,"('36.50529750000008', '127.26095849999983')"
3345,환경부(한국자동차환경협회),세종중앙공원주차장,1,DC콤보,세종특별자치시 ,연기면 ,세종특별자치시 연기면 세종리 548-88,24시간 이용가능,,급속(100kW멀티),,"('37.4040625999996', '126.94139119999966')"
3347,환경부(한국자동차환경협회),세종중앙공원주차장2,1,DC콤보,세종특별자치시 ,연기면 ,세종특별자치시 연기면 수목원로 136,24시간 이용가능,,급속(100kW멀티),,"('36.49806300000027', '127.28160509999972')"
3351,환경부(한국자동차환경협회),세종청사1동 국무조정실,1,DC콤보,세종특별자치시 ,다솜로 ,세종특별자치시 다솜로 261,24시간 이용가능,,급속(100kW멀티),,"('36.50282000000027', '127.26986009999942')"
3352,환경부(한국자동차환경협회),세종청사4동 기획재정부,1,DC콤보,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 477,24시간 이용가능,,급속(100kW멀티),,"('36.506005099999676', '127.26428989999955')"
3353,환경부(한국자동차환경협회),세종청사7동 법제처,21,DC콤보,세종특별자치시 ,도움5로 ,세종특별자치시 도움5로 20,24시간 이용가능,,급속(200kW동시),,"('36.50595540000003', '127.25851609999992')"
3355,환경부(한국자동차환경협회),세종호수공원제2주차장,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,어진동 ,"세종특별자치시 어진동 621, 입구 우측",24시간 이용가능,,급속(100kW동시),,"('36.50029780000004', '127.26821029999951')"
5057,환경부(한국자동차환경협회),정부세종청사 공정거래위원회,1,DC콤보,세종특별자치시 ,다솜3로 ,세종특별자치시 다솜3로 95(어진동)세종특별자치시 다솜2로 94(어진동),24시간 이용가능,,급속(100kW멀티),,"('36.504252199999875', '127.26643939999992')"
5058,환경부(한국자동차환경협회),정부세종청사 교육부,1,DC콤보,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 408(어진동),24시간 이용가능,,급속(100kW멀티),,"('36.49905729999989', '127.26457770000002')"
5059,환경부(한국자동차환경협회),정부세종청사 국세청,1,DC콤보,세종특별자치시 ,국세청로 ,세종특별자치시 국세청로 8-14(나성동),24시간 이용가능,,급속(100kW멀티),,"('36.485273699999965', '127.2582090999997')"
5060,환경부(한국자동차환경협회),정부세종청사 농림축산식품부/해양수산부,1,DC콤보,세종특별자치시 ,다솜2로 ,세종특별자치시 다솜2로 94(어진동),24시간 이용가능,,급속(100kW멀티),,"('36.50464530000004', '127.26364119999936')"
5061,환경부(한국자동차환경협회),정부세종청사 문화체육관광부,1,DC콤보,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 388(어진동),24시간 이용가능,,급속(100kW멀티),,"('36.49784919999978', '127.26427089999979')"
5062,환경부(한국자동차환경협회),정부세종청사 소방청,21,DC콤보,세종특별자치시 ,정부2청사로 ,세종특별자치시 정부2청사로 13(나성동)세종특별자치시 정부2청사로 13(나성동),24시간 이용가능,,급속(200kW동시),,"('36.484163500000186', '127.26039459999943')"
5064,환경부(한국자동차환경협회),정부세종컨벤션센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,다솜 ,세종특별자치시 다솜 3로 66,24시간 이용가능,,급속(100kW멀티),,"('36.5010228999997', '127.26800949999998')"
5536,환경부(한국자동차환경협회),첫마을 BRT 환승주차장 A,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,나성남로 ,세종특별자치시 나성남로 7-7 BRT환승센터 B주차장 B1 (나성동 531),24시간 이용가능,,급속(50kW),"주차요금 : 15분당 300원, 2시간 초과시 15분당 400원/노후로 교체예정","('36.48143850000002', '127.26159809999973')"
6404,환경부(한국자동차환경협회),한솔동 복합커뮤니티센터 정음관,11,DC콤보,세종특별자치시 ,한솔동 ,세종특별자치시 한솔동 961,09:00 ~ 18:00,,급속(100kW동시),공휴일 휴관,"('36.477498399999575', '127.25535299999927')"
8260,제주전기자동차서비스,세종한신휴시티오피스텔,1,AC완속,세종특별자치시 ,보듬3로 ,세종특별자치시 보듬3로 8-20,입주민 전용 24시간,사업장 거주자외 출입제한,,,"('36.51430120000023', '127.2580630999993')"
9053,제주전기자동차서비스,타이어프로 남세종점,1,AC완속,세종특별자치시 ,금남면 ,세종특별자치시 금남면 용포2길 3,09:00~18:00,,,,"('36.460234600000135', '127.2796058000001')"
9426,한국전력,2생활권 환승주차장2(A),1,DC차데모+AC3상+DC콤보,세종특별자치시 ,나성동 ,세종특별자치시 나성동 719,24시간 이용가능,,,,"('36.48101849999971', '127.26074049999976')"
9685,한국전력,가락마을21단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 마음안로 221 (마음안로 221),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5176504999998', '127.23681899999987')"
9690,한국전력,가락마을3단지아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 1708,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.50625579999998', '127.23583509999979')"
9693,한국전력,가락마을4단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 1703,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.50756949999994', '127.23582719999958')"
9726,한국전력,가온마을2단지,1,AC완속,세종특별자치시 ,다정동 ,세종특별자치시 다정동 산 29,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.49485099999989', '127.23847909999925')"
9732,한국전력,가재마을10단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도움1로 ,"세종특별자치시 도움1로 74지하1층 주차장(1006동, C45BL)",,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.50233139999974', '127.25252549999946')"
9735,한국전력,가재마을11단지,2,AC완속,세종특별자치시 ,종촌동 ,세종특별자치시 종촌동 654지하,,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.50375930000005', '127.25003490000009')"
9743,한국전력,가재마을2단지아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,종촌동 ,세종특별자치시 종촌동 683,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.502724399999884', '127.2416774999997')"
9750,한국전력,가재마을4단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,종촌동 ,세종특별자치시 종촌동 도움3로 160,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.50690820000006', '127.23947810000014')"
10342,한국전력,고운동 복합커뮤니티센터(남측),1,DC콤보,세종특별자치시 ,마음로 ,세종특별자치시 마음로 64,09:00~18:00,,,,"('36.504922399999586', '127.23425429999931')"
11999,한국전력,대평동 BRT전기버스 차고지,1,DC콤보,세종특별자치시 ,대평동 ,세종특별자치시 대평동 484-118,24시간 이용가능,전용충전소,,,"('36.467756100000145', '127.27245559999982')"
12101,한국전력,도램15세종힐스테이트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 859,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51239900000024', '127.26282849999997')"
12105,한국전력,도램마을13단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 632,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51703119999978', '127.25867399999997')"
12107,한국전력,도램마을16단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 639,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51540429999973', '127.26400609999945')"
12111,한국전력,도램마을18단지,1,AC완속,세종특별자치시 ,도담동 ,세종특별자치시 도담동 636,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.514382099999956', '127.26624729999976')"
12114,한국전력,도램마을19단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 638,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51541730000001', '127.26708750000007')"
12115,한국전력,도램마을1단지아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 845,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51007020000028', '127.25514589999969')"
12120,한국전력,도램마을5단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,다솜1로 ,"세종특별자치시 다솜1로 220지하2층 주차장(504동, B2-905BL)(다솜1로 220)",,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51759979999976', '127.25592389999936')"
13508,한국전력,범지기 3단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,아름동 ,세종특별자치시 아름동 달빛1로 201 (달빛1로 201),,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51750449999976', '127.2404916')"
13512,한국전력,범지기8단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,아름동 ,세종특별자치시 아름동 1279,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51372890000026', '127.24725039999932')"
13528,한국전력,범지기마을1단지아파트,1,AC완속,세종특별자치시 ,아름동 ,세종특별자치시 아름동 1339,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.50981410000009', '127.24118469999935')"
13533,한국전력,범지기마을5단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,달빛1로 ,"세종특별자치시 달빛1로 122지하1층 주차장(505동,39BL)(달빛1로 122)",,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5102673000001', '127.24696030000003')"
