도로명,위치,mean,위도,경도
갈매로,기쁨뜰공원,3.039768077,36.5201594,127.2540017
갈매로,제3주차장,2.926606431,36.5402254,127.2506734
당산로,연서면 봉암리,3.426925275,36.5587235,127.2526639
산학리길,장군면 산학리,2.91533011,36.4819006,127.1953383
새내로,서울외과 앞,5.015715193,36.5980637,127.2904572
새내로,조치원여중 앞,4.50582378,36.6061706,127.2940456
시청대로,세종 시청,3.281429558,36.4800121,127.020934
연청로,문곡리 세종방면,2.981862535,36.5303109,127.3242752
용연로,연서면 와촌리,3.17911573,36.5609071,127.2267187
일반국도1호선,산동교차로 대전방면,3.745900276,36.4270667,127.2832097
일반국도36호선,다름고개,5.499072836,36.5020027,127.2154861
정안세종로,은하수공원,2.501249171,36.3926078,127.1344209
조치원로,공영버스터미널 앞,5.504025967,36.6017868,127.2942648
지방도604호선,연동면 송용리 세종방면,3.076833929,36.5630303,127.307566
지방도96호선,갈매로,4.354160116,36.5019573,127.2618802
지방도96호선,부강교차로 세종방면,2.859696901,36.5328181,127.3535144
지방도96호선,세종이마트,2.779120442,36.4712189,127.2342603
평기길,장군면 평기리,2.841422928,36.519013,127.1862835
한누리대로,국세청맞은편,5.496521823,36.4852023,126.9922104
한누리대로,라온프라이빗시티앞,5.100500276,36.5134706,127.2504331
한누리대로,반곡동,3.130374309,36.4914128,127.2937083
한누리대로,세종 교육청,3.417529834,36.4803512,127.1555366
한누리대로,양지초교북측,4.234333333,36.5183743,127.259396
지방도96호선,장군면 금암리,3.579465254,36.4539361,127.2047195
절재로,연기면 세종리,3.725983142,36.4912863,127.2690391
