운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고
대구환경공단,DTC섬유박물관,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,"대구광역시 동구 팔공로 227, 지하1층(동구 봉무동 1560-1)",24시간,,
대구환경공단,가창면행정복지센터,01,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 가창면 가창로 1100가창면행정복지센터(82 가창면사무소),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,감삼동행정복지센터,01,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 감삼북길 119-10감삼동행정복지센터(136-2 감삼동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,갓바위공영2주차장,01,AC완속,대구광역시 ,동구 ,대구광역시 동구 갓바위로 227(동구 진인동 123-74),24시간,,
대구환경공단,갓바위공영2주차장,02,AC완속,대구광역시 ,동구 ,대구광역시 동구 갓바위로 227(동구 진인동 123-74),24시간,,
대구환경공단,갓바위공영2주차장,03,AC완속,대구광역시 ,동구 ,대구광역시 동구 갓바위로 227(동구 진인동 123-74),24시간,,
대구환경공단,갓바위공영5주차장,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 진인동 ,24시간,,
대구환경공단,검단동행정복지센터,01,AC완속,대구광역시 ,북구 ,대구광역시 북구 검단로41길 12검단동행정복지센터(검단동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,고산2동행정복지센터,01,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 3091고산2동행정복지센터(고산2동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,고산3동행정복지센터,01,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 고산로 152고산3동행정복지센터(고산3동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,관음공영주차장,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 관음중앙로 80(입구 좌측)(북구 관음동 448-1 (입구 좌측)),24시간 이용가능,,"충전 1시간 무료, 주차요금 60%감면"
대구환경공단,관음동행정복지센터,01,AC완속,대구광역시 ,북구 ,대구광역시 북구 관음동로 125관음동행정복지센터(관음동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,구암동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 구암서로32 (건물 앞),24시간 이용가능,,
대구환경공단,국채보상운동기념공원주차장,01,AC완속,대구광역시 ,중구 ,대구광역시 중구 동인동2가 ,24시간,,
대구환경공단,국채보상운동기념공원주차장,02,AC완속,대구광역시 ,중구 ,대구광역시 중구 동인동2가 ,24시간,,
대구환경공단,국채보상운동기념공원주차장,03,AC완속,대구광역시 ,중구 ,대구광역시 중구 동인동2가 ,24시간,,
대구환경공단,남산4동행정복지센터,01,AC완속,대구광역시 ,중구 ,대구광역시 중구 남산로1길 42남산4동행정복지센터(2508-1 남산4동주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,내당23동행정복지센터,01,AC완속,대구광역시 ,서구 ,"대구광역시 서구 큰장로15길 11-1내당23동행정복지센터(1008-1 내당2,3동주민센터)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,논공읍 논공공단출장소,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 논공중앙로 33길 3(논공읍 북리 1-130),24시간,,
대구환경공단,논공읍행정복지센터,01,AC완속,대구광역시 ,달성군 ,"대구광역시 달성군 논공읍 비슬로 1779논공읍행정복지센터(1998 논공읍사무소,금포119지역대)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,농수산물도매시장,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 매천로18길 34(북구 매천동 527-3),24시간,,
