상호,주소,위도,경도
세종동부농협주유소,세종특별자치시 부강면 부강외천로 10,36.67142933,127.2174616
㈜선인상사 우리나라주유소(명칭변경),세종특별자치시 전의면 운주산로 1032,36.62799942,127.2897471
굿모닝주유소,세종특별자치시 조치원읍 세종로 2712,36.62510301,127.2905546
신안주유소,세종특별자치시 조치원읍 세종로 2678,36.73132211,127.1683133
진영주유소,세종특별자치시  소정면 세종로 4732,36.55941386,127.2813632
봉암주유소,세종특별자치시 연서면 세종로 1899,36.67951985,127.1865437
충청에너지주유소,세종특별자치시 전의면 세종로 3894,36.61502221,127.2930431
신원주유소,세종특별자치시 조치원읍 세종로 2562,36.62755554,127.2899645
그린주유소,세종특별자치시 조치원읍 세종로 2706,36.70020997,127.15077
세종주유소,세종특별자치시 소정면 세종로 4313,36.69754251,127.1536833
태산주유소,세종특별자치시 소정면 세종로 4274,36.50416705,127.3855045
행복주유소,세종특별자치시  부강면 시목부강로 423,36.68101069,127.1942043
덕고개주유소,세종특별자치시 전의면 운주산로 1284,36.46052264,127.2776989
남세종농협주유소,세종특별자치시  금남면 성덕영곡길 15,36.67956799,127.1880206
세종로주유소,세종특별자치시 전의면 세종로 3880,36.57575197,127.2646814
서세종농협주유소,세종특별자치시 연서면 함박로 122,36.52926738,127.2478096
SK행복주유소,세종특별자치시 연기면 정안세종로 1573,36.51638135,127.2660108
삼미상사(주)도담셀프주유소,세종특별자치시 갈매로 596(도담동),36.48370799,127.3069925
소담self주유소,세종특별자치시 소담로 40(소담동),36.52992377,127.3970217
차사랑주유소,세종특별자치시 부강면 부강외천로 271,36.5295844,127.4004189
명화제일주유소,세종특별자치시 전동면 운주산로 224,36.58865351,127.2993933
평산주유소,세종특별자치시 조치원읍 허만석로 84,36.53959131,127.1907723
영당주유소,세종특별자치시 전의면 의당전의로 718,36.62299691,127.2909849
홍대셀프주유소,세종특별자치시  조치원읍 세종로 2654,36.53629146,127.1917915
송학주유소,세종특별자치시 장군면 의당전의로 677,36.69103162,127.2047385
전의농협주유소,세종특별자치시 전의면 매실로 6,36.69103144,127.2047381
대보산업(주)전의산업단지주유소,세종특별자치시 전의면 왕의물로 254 -1,36.54914296,127.3310497
동세종농협주유소,세종특별자치시 연동면 청연로 490,36.54191201,127.3549134
CJ대한통운중부화물터미널주유소,세종특별자치시  부강면 연청로 745-46,36.55087754,127.2770255
연기공단주유소,세종특별자치시  연기면 세종로 1798,36.51672613,127.2583846
세종청사주유소,세종특별자치시   보듬5로 6 (도담동  631),36.63119387,127.2879209
베스트주유소,세종특별자치시 조치원읍 세종로 2749,36.61453074,127.2920843
흥진주유소,세종특별자치시 조치원읍 신안새동네길 4,36.6098772,127.2964887
중앙주유소,세종특별자치시 조치원읍 새내로 201,36.69175457,127.1557619
백제주유소,세종특별자치시 소정면 차령고개로 1087,36.59117165,127.2985314
독립주유소(휴업중),세종특별자치시 조치원읍 충현로 23,36.70060673,127.1505604
승덕주유소,세종특별자치시  소정면 세종로 4317,36.53121987,127.3671251
신사주유소,세종특별자치시 부강면 청연로 71,36.53253184,127.3600652
석곡주유소,세종특별자치시 전동면 하석곡길 64-10,36.58036014,127.3239247
남극주유소(폐지),세종특별자치시 연동면 서부로 13,36.55444278,127.2768952
실광주유소,세종특별자치시 연기면 당산로 239,36.65349822,127.2664503
전동주유소,세종특별자치시 전동면 운주산로 355,36.49741976,127.2066117
장기주유소,세종특별자치시 장군면 장기초교길 6,36.59378352,127.2976653
삼정주유소,세종특별자치시 조치원읍 충현로 53,36.56134592,127.32263
내판주유소,세종특별자치시 연동면 청연로 643,36.60453914,127.2978184
동유주유소,세종특별자치시 조치원읍 새내로 142,36.53541019,127.3497425
나라주유소,세종특별자치시  연동면 청연로 236,36.5440766,127.276626
