운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고,GCS,POLYGON
대구환경공단,DTC섬유박물관,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,"대구광역시 동구 팔공로 227, 지하1층(동구 봉무동 1560-1)",24시간,,,"('35.9190995021191', '128.6402949676')","(1103064.2139810747, 1769717.1751822936)"
대구환경공단,가창면행정복지센터,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 가창면 가창로 1100가창면행정복지센터(82 가창면사무소),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8027087441067', '128.622833173824')","(1101494.3855001722, 1756705.3347230412)"
대구환경공단,감삼동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 감삼북길 119-10감삼동행정복지센터(136-2 감삼동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8510236745052', '128.542177153545')","(1094243.3482118782, 1762106.6756617965)"
대구환경공단,갓바위공영2주차장,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 갓바위로 227(동구 진인동 123-74),24시간,,,"('35.9708545410276', '128.726184209748')","(1110785.721877498, 1775503.1011504708)"
대구환경공단,갓바위공영5주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 진인동 ,24시간,,,"('35.9523024955821', '128.715733379502')","(1109846.1843259907, 1773429.0854841764)"
대구환경공단,검단동행정복지센터,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 검단로41길 12검단동행정복지센터(검단동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.9134685704033', '128.627220864301')","(1101888.8421960033, 1769087.6682835147)"
대구환경공단,고산2동행정복지센터,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 3091고산2동행정복지센터(고산2동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8434747607032', '128.695183787551')","(1107998.7604513618, 1761262.7490158184)"
대구환경공단,고산3동행정복지센터,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 고산로 152고산3동행정복지센터(고산3동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8441353826711', '128.70657672441')","(1109022.9941006552, 1761336.6028835732)"
대구환경공단,관음공영주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 관음중앙로 80(입구 좌측)(북구 관음동 448-1 (입구 좌측)),24시간 이용가능,,"충전 1시간 무료, 주차요금 60%감면","('35.9410475899648', '128.544691894686')","(1094469.4253443815, 1772170.8495316221)"
대구환경공단,관음동행정복지센터,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 관음동로 125관음동행정복지센터(관음동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.9442530628034', '128.547326727524')","(1094706.298811367, 1772529.2035958495)"
대구환경공단,구암동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 구암서로32 (건물 앞),24시간 이용가능,,,"('35.9389322230801', '128.566040609626')","(1096388.690980741, 1771934.3632599749)"
대구환경공단,국채보상운동기념공원주차장,1,AC완속,대구광역시 ,중구 ,대구광역시 중구 동인동2가 ,24시간,,,"('35.8687028970171', '128.604444119773')","(1099841.1956185119, 1764083.1145706656)"
대구환경공단,남산4동행정복지센터,1,AC완속,대구광역시 ,중구 ,대구광역시 중구 남산로1길 42남산4동행정복지센터(2508-1 남산4동주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8582240574125', '128.580571732355')","(1097695.049915689, 1762911.6384890454)"
