운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고,GCS,POLYGON
대구환경공단,DTC섬유박물관,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,"대구광역시 동구 팔공로 227, 지하1층(동구 봉무동 1560-1)",24시간,,,"('35.9192526000002', '128.63912649999995')","(1103024.6008608378, 1768933.9088503767)"
대구환경공단,가창면행정복지센터,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 가창면 가창로 1100가창면행정복지센터(82 가창면사무소),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.80275', '128.6227223')","(1101545.0483003098, 1755965.5681131147)"
대구환경공단,감삼동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 감삼북길 119-10감삼동행정복지센터(136-2 감삼동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.85154660000008', '128.54609810000008')","(1094634.0418928894, 1761397.3004145378)"
대구환경공단,갓바위공영2주차장,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 갓바위로 227(동구 진인동 123-74),24시간,,,"('35.97084569999987', '128.72587019999975')","(1110848.3206060706, 1774676.930040344)"
대구환경공단,갓바위공영5주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 진인동 ,24시간,,,"('35.960212100000014', '128.6898666')","(1107601.029146077, 1773493.2641988806)"
대구환경공단,검단동행정복지센터,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 검단로41길 12검단동행정복지센터(검단동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.913424', '128.6272168')","(1101950.4230813624, 1768285.1055547965)"
대구환경공단,고산2동행정복지센터,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 3091고산2동행정복지센터(고산2동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.843396700000135', '128.6909730999994')","(1107700.8282772372, 1760490.1045221398)"
대구환경공단,고산3동행정복지센터,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 고산로 152고산3동행정복지센터(고산3동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.84411089999992', '128.70238259999934')","(1108729.8912574062, 1760569.6047989726)"
대구환경공단,관음공영주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 관음중앙로 80(입구 좌측)(북구 관음동 448-1 (입구 좌측)),24시간 이용가능,,"충전 1시간 무료, 주차요금 60%감면","('35.94076579999962', '128.54440719999994')","(1094481.533667873, 1771328.6237146019)"
대구환경공단,관음동행정복지센터,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 관음동로 125관음동행정복지센터(관음동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.94425939999964', '128.54306509999986')","(1094360.4849430586, 1771717.5094150058)"
대구환경공단,구암동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 구암서로32 (건물 앞),24시간 이용가능,,,"('35.938921499999964', '128.56572329999992')","(1096404.1077852044, 1771123.3277742777)"
대구환경공단,국채보상운동기념공원주차장,1,AC완속,대구광역시 ,중구 ,대구광역시 중구 동인동2가 ,24시간,,,"('35.86903929999975', '128.59900980000003')","(1099406.334428767, 1763344.4783660176)"
대구환경공단,남산4동행정복지센터,1,AC완속,대구광역시 ,중구 ,대구광역시 중구 남산로1길 42남산4동행정복지센터(2508-1 남산4동주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.85819820000015', '128.57638949999995')","(1097366.129921072, 1762137.7149224442)"
