index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
41,환경부(한국자동차환경협회),KT가정빌딩,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 가정로 168 입구 경비실 앞 주차장,24시간 이용가능,,급속(50kW),주차요금 별도,"('36.3843348879405', '127.362077313034')","(987843.0379378615, 1820703.960169962)"
100,환경부(한국자동차환경협회),가수원동행정복지센터,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 가수원로 105,24시간 이용가능,,급속(100kW단독),,"('36.3035470003356', '127.349365700469')","(986696.5328404439, 1811711.1578299094)"
133,환경부(한국자동차환경협회),갈마2동 공영주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 갈마중로 30번길 15-5,24시간 이용가능,,급속(100kW단독),"주간 무료, 18:00 ~ 다음 날 05:00까지 10분당 100원, 저공해차 이용시 50% 할인","('36.3471848051732', '127.373188620128')","(988845.2058498466, 1816568.6453208255)"
134,환경부(한국자동차환경협회),갈마도서관,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 갈마동 427-20 ,24시간 이용가능,,급속(100kW멀티),,"('36.3408676250018', '127.366234697629')","(988218.0070934823, 1815865.4563365343)"
584,환경부(한국자동차환경협회),관저2동주민센터,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 관저동 1104,24시간 이용가능,,급속(50kW),,"('36.2992322617654', '127.335251186615')","(985423.4951358713, 1811230.86811989)"
585,환경부(한국자동차환경협회),관저문예회관 공영주차장,11,DC콤보,대전광역시 ,서구 ,대전광역시 서구 관저동 1199,24시간 이용가능,,급속(100kW동시),,"('36.3016679843903', '127.339497660991')","(985806.499612545, 1811501.9975276557)"
587,환경부(한국자동차환경협회),관저저류지주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 관저동 1510,24시간 이용가능,,급속(50kW),,"('36.2992880924051', '127.3379233695')","(985664.5087195708, 1811237.082837495)"
652,환경부(한국자동차환경협회),교촌동 공영주차장,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 교촌동 636-1,24시간 이용가능,,급속(100kW단독),,"('36.3026402836453', '127.314826300145')","(983581.3027049534, 1811610.2277992328)"
709,환경부(한국자동차환경협회),구봉산공원 노상주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 관저동 843-16,24시간 이용가능,,급속(100kW단독),,"('36.2841748767384', '127.322513180085')","(984274.6094738129, 1809554.7741988793)"
732,환경부(한국자동차환경협회),구즉동 주민센터,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 구룡달전로 22,24시간 이용가능,,급속(50kW),,"('36.4404511271441', '127.383830317556')","(989805.0180124638, 1826950.4689250009)"
789,환경부(한국자동차환경협회),국립자연휴양림관리소 주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 복수동 292-25,24시간 이용가능,,급속(100kW단독),,"('36.3077275797053', '127.372154307545')","(988751.9175559602, 1812176.5137768614)"
945,환경부(한국자동차환경협회),금강유역환경청,21,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 대학로 417,24시간 이용가능,,급속(200kW동시),,"('36.3727943978226', '127.374271369619')","(988942.8628390207, 1819419.3449929305)"
1014,환경부(한국자동차환경협회),기성동 공영주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 흑석동 966,24시간 이용가능,,급속(100kW멀티),,"('36.2541835627193', '127.341230155198')","(985962.75936554, 1806216.3287104762)"
1024,환경부(한국자동차환경협회),기초과학연구원,41,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 엑스포로 55,24시간 이용가능,,급속(200kW동시),,"('36.3802324552677', '127.384467883076')","(989862.5222917104, 1820247.3030245213)"
1178,환경부(한국자동차환경협회),남선공원,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 탄방동 1084,24시간 이용가능,,급속(50kW),20분후 유료(15분당 300원),"('36.345397164098', '127.398254087267')","(991105.9485917325, 1816369.6562975845)"
1288,환경부(한국자동차환경협회),노은1동 행정복지센터,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 노은동로 87번길89(노은동 546),24시간 이용가능,,급속(100kW단독),,"('36.3682652964776', '127.318438265264')","(983907.0785575021, 1818915.1937596065)"
1289,환경부(한국자동차환경협회),노은2동 행정복지센터,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 송림로 19번길35(하기동 411-1),24시간 이용가능,,급속(100kW단독),,"('36.389471008942', '127.320779662103')","(984118.2573829471, 1821275.6810346912)"
1290,환경부(한국자동차환경협회),노은농수산물시장,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 노은동 566,24시간 이용가능,,급속(50kW),,"('36.3651679063072', '127.320178245435')","(984064.0134959491, 1818570.4116592417)"
1516,환경부(한국자동차환경협회),대덕대학교,11,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 가정북로 68,24시간 이용가능,,급속(200kW동시),,"('36.3908441194951', '127.367450951356')","(988327.7052997986, 1821428.5271129971)"
1518,환경부(한국자동차환경협회),대덕문화체육관,1,DC차데모+AC3상+DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 목상동 산6-2,24시간 이용가능,,급속(50kW),,"('36.4456010802993', '127.415510914495')","(992662.4026042321, 1827523.7294985624)"
1519,환경부(한국자동차환경협회),대덕보건소,1,DC차데모+AC3상+DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 석봉로 38번길 55 대덕구보건소,24시간 이용가능,,급속(100kW멀티),,"('36.4448275161377', '127.426551307641')","(993658.1745375451, 1827437.6211745446)"
