,주용도코드명,대지위치
0,주거지,경기도 고양시 덕양구 주교동
6,주거지,경기도 고양시 덕양구 주교동 15번지
7,주거지,경기도 고양시 덕양구 주교동 15-1번지
8,주거지,경기도 고양시 덕양구 주교동 15-2번지
9,주거지,경기도 고양시 덕양구 주교동 15-4번지
10,주거지,경기도 고양시 덕양구 원당동
16,편의시설,경기도 고양시 덕양구 원당동 34-1번지
17,편의시설,경기도 고양시 덕양구 원당동 34-2번지
18,창고시설,경기도 고양시 덕양구 원당동 34-3번지
19,편의시설,경기도 고양시 덕양구 원당동 34-11번지
20,주거지,경기도 고양시 덕양구 신원동
23,님비시설,경기도 고양시 덕양구 신원동 7-5번지
30,주거지,경기도 고양시 덕양구 원흥동
31,편의시설,경기도 고양시 덕양구 원흥동 60번지
32,편의시설,경기도 고양시 덕양구 원흥동 69-28번지
33,편의시설,경기도 고양시 덕양구 원흥동 90-4번지
34,편의시설,경기도 고양시 덕양구 원흥동 99-1번지
35,주거지,경기도 고양시 덕양구 원흥동 103-3번지
36,창고시설,경기도 고양시 덕양구 원흥동 104-1번지
37,농축산업시설,경기도 고양시 덕양구 원흥동 104-3번지
38,농축산업시설,경기도 고양시 덕양구 원흥동 104-9번지
39,창고시설,경기도 고양시 덕양구 원흥동 109번지
40,주거지,경기도 고양시 덕양구 도내동 76-1번지
41,주거지,경기도 고양시 덕양구 도내동 88-5번지
42,농축산업시설,경기도 고양시 덕양구 도내동 112번지
43,농축산업시설,경기도 고양시 덕양구 도내동 115번지
44,농축산업시설,경기도 고양시 덕양구 도내동 119번지
46,농축산업시설,경기도 고양시 덕양구 도내동 124번지
48,농축산업시설,경기도 고양시 덕양구 도내동 126번지
49,창고시설,경기도 고양시 덕양구 도내동 144-1번지
50,주거지,경기도 고양시 덕양구 성사동
58,편의시설,경기도 고양시 덕양구 성사동 1-2번지
59,주거지,경기도 고양시 덕양구 성사동 8번지
60,편의시설,경기도 고양시 덕양구 북한동 18번지
62,편의시설,경기도 고양시 덕양구 북한동 165번지
66,편의시설,경기도 고양시 덕양구 북한동 240번지
67,편의시설,경기도 고양시 덕양구 북한동 259번지
70,주거지,경기도 고양시 덕양구 효자동 15-1번지
71,주거지,경기도 고양시 덕양구 효자동 20번지
72,편의시설,경기도 고양시 덕양구 효자동 38번지
73,주거지,경기도 고양시 덕양구 효자동 40-1번지
74,주거지,경기도 고양시 덕양구 효자동 41-1번지
75,주거지,경기도 고양시 덕양구 효자동 41-2번지
76,주거지,경기도 고양시 덕양구 효자동 43번지
77,편의시설,경기도 고양시 덕양구 효자동 44-1번지
78,주거지,경기도 고양시 덕양구 효자동 44-4번지
79,주거지,경기도 고양시 덕양구 효자동 45-1번지
80,편의시설,경기도 고양시 덕양구 지축동 7번지
81,님비시설,경기도 고양시 덕양구 지축동 12-5번지
82,님비시설,경기도 고양시 덕양구 지축동 12-6번지
83,농축산업시설,경기도 고양시 덕양구 지축동 29-1번지
84,님비시설,경기도 고양시 덕양구 지축동 53-15번지
85,님비시설,경기도 고양시 덕양구 지축동 54-2번지
86,주거지,경기도 고양시 덕양구 지축동 62-19번지
87,님비시설,경기도 고양시 덕양구 지축동 70번지
88,주거지,경기도 고양시 덕양구 지축동 81-11번지
89,님비시설,경기도 고양시 덕양구 지축동 81-12번지
90,주거지,경기도 고양시 덕양구 오금동 25-1번지
91,주거지,경기도 고양시 덕양구 오금동 48번지
93,편의시설,경기도 고양시 덕양구 오금동 118-2번지
94,주거지,경기도 고양시 덕양구 오금동 128-1번지
95,편의시설,경기도 고양시 덕양구 오금동 131-1번지
97,주거지,경기도 고양시 덕양구 오금동 174-4번지
98,주거지,경기도 고양시 덕양구 오금동 209-4번지
99,주거지,경기도 고양시 덕양구 오금동 209-6번지
100,편의시설,경기도 고양시 덕양구 삼송동 11-7번지
101,편의시설,경기도 고양시 덕양구 삼송동 11-8번지
102,주거지,경기도 고양시 덕양구 삼송동 11-11번지
103,주거지,경기도 고양시 덕양구 삼송동 11-12번지
104,편의시설,경기도 고양시 덕양구 삼송동 11-13번지
105,편의시설,경기도 고양시 덕양구 삼송동 11-14번지
106,주거지,경기도 고양시 덕양구 삼송동 11-15번지
107,편의시설,경기도 고양시 덕양구 삼송동 16-5번지
108,주거지,경기도 고양시 덕양구 삼송동 16-15번지
109,주거지,경기도 고양시 덕양구 삼송동 16-20번지
110,편의시설,경기도 고양시 덕양구 동산동 4-13번지
111,편의시설,경기도 고양시 덕양구 동산동 6-9번지
112,편의시설,경기도 고양시 덕양구 동산동 8-2번지
113,주거지,경기도 고양시 덕양구 동산동 8-21번지
114,주거지,경기도 고양시 덕양구 동산동 8-22번지
115,편의시설,경기도 고양시 덕양구 동산동 9-2번지
116,편의시설,경기도 고양시 덕양구 동산동 9-6번지
117,편의시설,경기도 고양시 덕양구 동산동 9-10번지
118,편의시설,경기도 고양시 덕양구 동산동 9-18번지
119,주거지,경기도 고양시 덕양구 동산동 9-28번지
120,편의시설,경기도 고양시 덕양구 용두동 1-2번지
121,편의시설,경기도 고양시 덕양구 용두동 1-7번지
122,주거지,경기도 고양시 덕양구 용두동 1-9번지
123,주거지,경기도 고양시 덕양구 용두동 1-10번지
124,편의시설,경기도 고양시 덕양구 용두동 1-12번지
125,편의시설,경기도 고양시 덕양구 용두동 1-18번지
126,편의시설,경기도 고양시 덕양구 용두동 1-46번지
