,주용도코드명,대지위치
0,주거지,광주광역시 동구 대인동 1-8번지
1,주거지,광주광역시 동구 대인동 1-62번지
2,편의시설,광주광역시 동구 대인동 2-80번지
3,편의시설,광주광역시 동구 대인동 4-2번지
4,판매시설,광주광역시 동구 대인동 7-1번지
5,생산시설,광주광역시 동구 대인동 7-12번지
6,편의시설,광주광역시 동구 대인동 15-6번지
7,편의시설,광주광역시 동구 대인동 16-1번지
9,편의시설,광주광역시 동구 대인동 16-3번지
10,판매시설,광주광역시 동구 금남로5가 1-5번지
11,편의시설,광주광역시 동구 금남로5가 1-13번지
12,편의시설,광주광역시 동구 금남로5가 1-17번지
13,편의시설,광주광역시 동구 금남로5가 1-18번지
14,주거지,광주광역시 동구 금남로5가 1-21번지
15,편의시설,광주광역시 동구 금남로5가 1-22번지
16,편의시설,광주광역시 동구 금남로5가 1-24번지
17,편의시설,광주광역시 동구 금남로5가 1-25번지
18,편의시설,광주광역시 동구 금남로5가 1-27번지
19,편의시설,광주광역시 동구 금남로5가 1-29번지
20,편의시설,광주광역시 동구 충장로5가 6-3번지
21,주거지,광주광역시 동구 충장로5가 6-4번지
22,편의시설,광주광역시 동구 충장로5가 6-8번지
23,편의시설,광주광역시 동구 충장로5가 6-9번지
24,편의시설,광주광역시 동구 충장로5가 7-1번지
25,편의시설,광주광역시 동구 충장로5가 8-2번지
30,편의시설,광주광역시 동구 수기동 3-1번지
31,주거지,광주광역시 동구 수기동 3-2번지
33,편의시설,광주광역시 동구 수기동 3-3번지
35,주거지,광주광역시 동구 수기동 4-2번지
37,주거지,광주광역시 동구 수기동 4-5번지
38,주거지,광주광역시 동구 수기동 4-9번지
40,편의시설,광주광역시 동구 대의동 2번지
41,문화및집회시설,광주광역시 동구 대의동 2-1번지
42,편의시설,광주광역시 동구 대의동 2-4번지
43,교육연구시설,광주광역시 동구 대의동 2-6번지
44,편의시설,광주광역시 동구 대의동 3번지
46,편의시설,광주광역시 동구 대의동 6-1번지
47,편의시설,광주광역시 동구 대의동 6-3번지
48,교육연구및복지시설,광주광역시 동구 대의동 8-1번지
49,교육연구시설,광주광역시 동구 대의동 10-1번지
50,편의시설,광주광역시 동구 궁동 1번지
51,편의시설,광주광역시 동구 궁동 1-1번지
52,편의시설,광주광역시 동구 궁동 1-3번지
53,교육연구시설,광주광역시 동구 궁동 6-2번지
59,편의시설,광주광역시 동구 궁동 7-5번지
60,생산시설,광주광역시 동구 장동 1-8번지
61,편의시설,광주광역시 동구 장동 1-11번지
63,편의시설,광주광역시 동구 장동 2-1번지
65,편의시설,광주광역시 동구 장동 5-1번지
66,편의시설,광주광역시 동구 장동 6-6번지
67,교육연구시설,광주광역시 동구 장동 9-6번지
68,편의시설,광주광역시 동구 장동 9-10번지
69,편의시설,광주광역시 동구 장동 9-11번지
70,주거지,광주광역시 동구 동명동 1번지
73,주거지,광주광역시 동구 동명동 1-1번지
75,주거지,광주광역시 동구 동명동 1-2번지
77,편의시설,광주광역시 동구 동명동 2번지
80,주거지,광주광역시 동구 계림동 36번지
82,주거지,광주광역시 동구 계림동 41번지
83,주거지,광주광역시 동구 계림동 47-31번지
84,주거지,광주광역시 동구 계림동 52번지
90,주거지,광주광역시 동구 산수동 1번지
91,편의시설,광주광역시 동구 산수동 1-1번지
94,주거지,광주광역시 동구 산수동 1-3번지
95,주거지,광주광역시 동구 산수동 1-4번지
96,편의시설,광주광역시 동구 산수동 1-5번지
97,주거지,광주광역시 동구 산수동 1-6번지
98,주거지,광주광역시 동구 산수동 2번지
99,편의시설,광주광역시 동구 산수동 5번지
100,편의시설,광주광역시 동구 지산동 1번지
101,편의시설,광주광역시 동구 지산동 1-6번지
103,편의시설,광주광역시 동구 지산동 1-7번지
104,편의시설,광주광역시 동구 지산동 3번지
105,편의시설,광주광역시 동구 지산동 5번지
106,편의시설,광주광역시 동구 지산동 8번지
107,주거지,광주광역시 동구 지산동 9-1번지
109,편의시설,광주광역시 동구 지산동 9-2번지
110,편의시설,광주광역시 동구 남동 28번지
111,편의시설,광주광역시 동구 남동 30번지
112,편의시설,광주광역시 동구 남동 30-2번지
113,주거지,광주광역시 동구 남동 31-2번지
114,편의시설,광주광역시 동구 남동 32번지
115,편의시설,광주광역시 동구 남동 33-1번지
118,주거지,광주광역시 동구 남동 34번지
119,편의시설,광주광역시 동구 남동 34-2번지
120,편의시설,광주광역시 동구 광산동 3-5번지
121,편의시설,광주광역시 동구 광산동 28번지
122,편의시설,광주광역시 동구 광산동 56번지
123,편의시설,광주광역시 동구 광산동 56-1번지
124,편의시설,광주광역시 동구 광산동 57번지
125,편의시설,광주광역시 동구 광산동 57-3번지
126,편의시설,광주광역시 동구 광산동 58번지
127,편의시설,광주광역시 동구 광산동 59-1번지
128,편의시설,광주광역시 동구 광산동 59-2번지
129,편의시설,광주광역시 동구 광산동 60번지
130,편의시설,광주광역시 동구 금동 1번지
133,편의시설,광주광역시 동구 금동 3-4번지
134,주거지,광주광역시 동구 금동 5번지
135,생산시설,광주광역시 동구 금동 6번지
136,창고시설,광주광역시 동구 금동 7-1번지
137,편의시설,광주광역시 동구 금동 8번지
138,편의시설,광주광역시 동구 금동 8-1번지
139,자동차관련시설,광주광역시 동구 금동 8-5번지
140,편의시설,광주광역시 동구 호남동 3번지
142,편의시설,광주광역시 동구 호남동 3-5번지
143,생산시설,광주광역시 동구 호남동 3-6번지
144,생산시설,광주광역시 동구 호남동 3-7번지
145,편의시설,광주광역시 동구 호남동 3-8번지
149,편의시설,광주광역시 동구 호남동 3-11번지
150,편의시설,광주광역시 동구 불로동 1-4번지
152,주거지,광주광역시 동구 불로동 1-7번지
153,편의시설,광주광역시 동구 불로동 1-9번지
154,편의시설,광주광역시 동구 불로동 1-10번지
155,편의시설,광주광역시 동구 불로동 1-11번지
158,편의시설,광주광역시 동구 불로동 1-18번지
159,편의시설,광주광역시 동구 불로동 1-20번지
160,편의시설,광주광역시 동구 황금동 1-3번지
161,편의시설,광주광역시 동구 황금동 2번지
162,편의시설,광주광역시 동구 황금동 2-1번지
163,편의시설,광주광역시 동구 황금동 2-4번지
164,편의시설,광주광역시 동구 황금동 2-5번지
165,편의시설,광주광역시 동구 황금동 3번지
166,편의시설,광주광역시 동구 황금동 5번지
167,편의시설,광주광역시 동구 황금동 5-2번지
168,편의시설,광주광역시 동구 황금동 5-3번지
169,편의시설,광주광역시 동구 황금동 5-7번지
170,편의시설,광주광역시 동구 서석동 1-2번지
