,주용도코드명,대지위치
0,편의시설,대구광역시 중구 동인동1가 9번지
1,편의시설,대구광역시 중구 동인동1가 9-7번지
2,편의시설,대구광역시 중구 동인동1가 9-8번지
3,편의시설,대구광역시 중구 동인동1가 9-9번지
4,주거지,대구광역시 중구 동인동1가 9-10번지
6,주거지,대구광역시 중구 동인동1가 10번지
7,주거지,대구광역시 중구 동인동1가 10-3번지
8,주거지,대구광역시 중구 동인동1가 10-6번지
9,주거지,대구광역시 중구 동인동1가 10-9번지
10,편의시설,대구광역시 중구 동인동2가 2-1번지
11,편의시설,대구광역시 중구 동인동2가 4번지
12,편의시설,대구광역시 중구 동인동2가 4-6번지
13,편의시설,대구광역시 중구 동인동2가 4-7번지
14,편의시설,대구광역시 중구 동인동2가 4-10번지
15,생산시설,대구광역시 중구 동인동2가 11번지
16,편의시설,대구광역시 중구 동인동2가 12번지
17,편의시설,대구광역시 중구 동인동2가 12-1번지
18,편의시설,대구광역시 중구 동인동2가 12-4번지
19,편의시설,대구광역시 중구 동인동2가 16-1번지
20,주거지,대구광역시 중구 동인동3가 192번지
23,주거지,대구광역시 중구 동인동3가 192-3번지
24,주거지,대구광역시 중구 동인동3가 192-5번지
25,주거지,대구광역시 중구 동인동3가 192-6번지
26,주거지,대구광역시 중구 동인동3가 192-8번지
27,주거지,대구광역시 중구 동인동3가 192-9번지
28,주거지,대구광역시 중구 동인동3가 192-11번지
29,주거지,대구광역시 중구 동인동3가 192-13번지
30,주거지,대구광역시 중구 동인동4가 2-1번지
31,편의시설,대구광역시 중구 동인동4가 2-2번지
32,주거지,대구광역시 중구 동인동4가 2-3번지
33,주거지,대구광역시 중구 동인동4가 2-6번지
34,주거지,대구광역시 중구 동인동4가 2-7번지
35,주거지,대구광역시 중구 동인동4가 2-8번지
36,주거지,대구광역시 중구 동인동4가 2-9번지
37,주거지,대구광역시 중구 동인동4가 2-11번지
39,창고시설,대구광역시 중구 동인동4가 2-13번지
40,편의시설,대구광역시 중구 삼덕동1가 1-187번지
41,편의시설,대구광역시 중구 삼덕동1가 4-3번지
42,편의시설,대구광역시 중구 삼덕동1가 4-5번지
43,편의시설,대구광역시 중구 삼덕동1가 4-7번지
44,편의시설,대구광역시 중구 삼덕동1가 4-8번지
45,편의시설,대구광역시 중구 삼덕동1가 4-10번지
46,편의시설,대구광역시 중구 삼덕동1가 4-12번지
47,편의시설,대구광역시 중구 삼덕동1가 4-13번지
48,주거지,대구광역시 중구 삼덕동1가 4-14번지
49,편의시설,대구광역시 중구 삼덕동1가 5-1번지
50,편의시설,대구광역시 중구 삼덕동2가 6번지
51,편의시설,대구광역시 중구 삼덕동2가 12-9번지
52,편의시설,대구광역시 중구 삼덕동2가 14번지
53,편의시설,대구광역시 중구 삼덕동2가 14-1번지
54,주거지,대구광역시 중구 삼덕동2가 15-1번지
55,주거지,대구광역시 중구 삼덕동2가 15-4번지
56,편의시설,대구광역시 중구 삼덕동2가 16-1번지
57,편의시설,대구광역시 중구 삼덕동2가 17-1번지
58,주거지,대구광역시 중구 삼덕동2가 19번지
59,주거지,대구광역시 중구 삼덕동2가 23번지
60,주거지,대구광역시 중구 삼덕동3가 2-2번지
61,주거지,대구광역시 중구 삼덕동3가 16-6번지
62,편의시설,대구광역시 중구 삼덕동3가 31-2번지
63,주거지,대구광역시 중구 삼덕동3가 33-1번지
64,주거지,대구광역시 중구 삼덕동3가 34-1번지
65,편의시설,대구광역시 중구 삼덕동3가 35-2번지
66,편의시설,대구광역시 중구 삼덕동3가 36-1번지
67,주거지,대구광역시 중구 삼덕동3가 39번지
68,편의시설,대구광역시 중구 삼덕동3가 39-1번지
69,주거지,대구광역시 중구 삼덕동3가 39-2번지
70,편의시설,대구광역시 중구 봉산동 1-1번지
71,편의시설,대구광역시 중구 봉산동 1-2번지
72,편의시설,대구광역시 중구 봉산동 1-3번지
73,편의시설,대구광역시 중구 봉산동 2-2번지
74,편의시설,대구광역시 중구 봉산동 2-3번지
75,편의시설,대구광역시 중구 봉산동 2-4번지
76,편의시설,대구광역시 중구 봉산동 2-5번지
77,편의시설,대구광역시 중구 봉산동 3-1번지
78,편의시설,대구광역시 중구 봉산동 3-3번지
79,편의시설,대구광역시 중구 봉산동 3-5번지
80,편의시설,대구광역시 중구 장관동 2-2번지
81,주거지,대구광역시 중구 장관동 5번지
82,주거지,대구광역시 중구 장관동 6번지
83,편의시설,대구광역시 중구 장관동 9-2번지
84,편의시설,대구광역시 중구 장관동 9-3번지
85,주거지,대구광역시 중구 장관동 10-1번지
86,편의시설,대구광역시 중구 장관동 15-2번지
87,편의시설,대구광역시 중구 장관동 16-2번지
88,편의시설,대구광역시 중구 장관동 25-1번지
89,편의시설,대구광역시 중구 장관동 26-2번지
90,편의시설,대구광역시 중구 상서동 5번지
91,편의시설,대구광역시 중구 상서동 7-2번지
92,편의시설,대구광역시 중구 상서동 9-2번지
93,편의시설,대구광역시 중구 상서동 13-1번지
94,주거지,대구광역시 중구 상서동 17번지
95,편의시설,대구광역시 중구 상서동 20-2번지
97,생산시설,대구광역시 중구 상서동 22-5번지
98,편의시설,대구광역시 중구 상서동 23-1번지
100,편의시설,대구광역시 중구 수동 1-1번지
101,편의시설,대구광역시 중구 수동 1-3번지
102,교육연구시설,대구광역시 중구 수동 1-6번지
103,편의시설,대구광역시 중구 수동 5-1번지
104,편의시설,대구광역시 중구 수동 6번지
105,편의시설,대구광역시 중구 수동 9-4번지
106,편의시설,대구광역시 중구 수동 18번지
107,편의시설,대구광역시 중구 수동 19-3번지
108,생산시설,대구광역시 중구 수동 22번지
109,편의시설,대구광역시 중구 수동 27-1번지
110,편의시설,대구광역시 중구 덕산동
111,편의시설,대구광역시 중구 덕산동 38번지
112,편의시설,대구광역시 중구 덕산동 49번지
116,편의시설,대구광역시 중구 덕산동 53-3번지
119,판매시설,대구광역시 중구 덕산동 67번지
120,편의시설,대구광역시 중구 종로1가 6-3번지
121,편의시설,대구광역시 중구 종로1가 6-5번지
122,편의시설,대구광역시 중구 종로1가 13-2번지
123,편의시설,대구광역시 중구 종로1가 13-7번지
124,편의시설,대구광역시 중구 종로1가 21번지
125,편의시설,대구광역시 중구 종로1가 22번지
126,편의시설,대구광역시 중구 종로1가 24-1번지
127,주거지,대구광역시 중구 종로1가 24-3번지
128,편의시설,대구광역시 중구 종로1가 28-1번지
129,편의시설,대구광역시 중구 종로1가 28-2번지
130,편의시설,대구광역시 중구 종로2가 1번지
131,편의시설,대구광역시 중구 종로2가 2-1번지
132,편의시설,대구광역시 중구 종로2가 2-2번지
133,편의시설,대구광역시 중구 종로2가 3번지
134,편의시설,대구광역시 중구 종로2가 3-4번지
135,편의시설,대구광역시 중구 종로2가 4번지
136,편의시설,대구광역시 중구 종로2가 5번지
138,편의시설,대구광역시 중구 종로2가 7-1번지
139,편의시설,대구광역시 중구 종로2가 15번지
140,판매시설,대구광역시 중구 사일동 15-1번지
141,주거지,대구광역시 중구 사일동 50-1번지
142,편의시설,대구광역시 중구 사일동 51-1번지
143,편의시설,대구광역시 중구 사일동 51-4번지
144,편의시설,대구광역시 중구 사일동 54-1번지
145,편의시설,대구광역시 중구 사일동 55-2번지
146,편의시설,대구광역시 중구 사일동 57-3번지
147,편의시설,대구광역시 중구 사일동 57-4번지
149,편의시설,대구광역시 중구 사일동 57-7번지
150,편의시설,대구광역시 중구 동일동 1-1번지
151,편의시설,대구광역시 중구 동일동 8-1번지
152,편의시설,대구광역시 중구 동일동 10-1번지
153,편의시설,대구광역시 중구 동일동 11-1번지
154,주거지,대구광역시 중구 동일동 14번지
155,편의시설,대구광역시 중구 동일동 14-1번지
156,편의시설,대구광역시 중구 동일동 17-3번지
157,편의시설,대구광역시 중구 동일동 19-1번지
158,편의시설,대구광역시 중구 동일동 19-3번지
159,편의시설,대구광역시 중구 동일동 20번지
160,교육연구시설,대구광역시 중구 남일동 24-4번지
