,주용도코드명,대지위치
0,주거지,강원도 춘천시 봉의동 1-5번지
1,주거지,강원도 춘천시 봉의동 1-7번지
2,주거지,강원도 춘천시 봉의동 1-8번지
3,주거지,강원도 춘천시 봉의동 1-9번지
4,주거지,강원도 춘천시 봉의동 1-10번지
5,주거지,강원도 춘천시 봉의동 2-4번지
6,편의시설,강원도 춘천시 봉의동 2-5번지
7,주거지,강원도 춘천시 봉의동 2-9번지
8,편의시설,강원도 춘천시 봉의동 2-13번지
9,편의시설,강원도 춘천시 봉의동 3-1번지
10,주거지,강원도 춘천시 요선동 1-1번지
11,주거지,강원도 춘천시 요선동 1-2번지
12,주거지,강원도 춘천시 요선동 1-3번지
13,주거지,강원도 춘천시 요선동 1-4번지
14,편의시설,강원도 춘천시 요선동 1-5번지
16,주거지,강원도 춘천시 요선동 1-6번지
17,편의시설,강원도 춘천시 요선동 1-7번지
18,주거지,강원도 춘천시 요선동 1-8번지
19,주거지,강원도 춘천시 요선동 1-9번지
20,주거지,강원도 춘천시 낙원동 1번지
23,주거지,강원도 춘천시 낙원동 5-1번지
24,편의시설,강원도 춘천시 낙원동 6-5번지
25,편의시설,강원도 춘천시 낙원동 7-3번지
26,생산시설,강원도 춘천시 낙원동 7-7번지
27,주거지,강원도 춘천시 낙원동 7-11번지
28,주거지,강원도 춘천시 낙원동 8번지
29,주거지,강원도 춘천시 낙원동 8-1번지
30,주거지,강원도 춘천시 중앙로1가 2-1번지
31,주거지,강원도 춘천시 중앙로1가 2-2번지
32,주거지,강원도 춘천시 중앙로1가 2-3번지
33,주거지,강원도 춘천시 중앙로1가 2-4번지
34,주거지,강원도 춘천시 중앙로1가 2-5번지
35,편의시설,강원도 춘천시 중앙로1가 2-6번지
36,편의시설,강원도 춘천시 중앙로1가 3-1번지
37,주거지,강원도 춘천시 중앙로1가 3-2번지
38,주거지,강원도 춘천시 중앙로1가 4번지
39,주거지,강원도 춘천시 중앙로1가 13번지
40,편의시설,강원도 춘천시 중앙로2가 1번지
41,편의시설,강원도 춘천시 중앙로2가 2번지
42,편의시설,강원도 춘천시 중앙로2가 3번지
43,편의시설,강원도 춘천시 중앙로2가 5번지
44,편의시설,강원도 춘천시 중앙로2가 5-1번지
45,편의시설,강원도 춘천시 중앙로2가 7번지
46,편의시설,강원도 춘천시 중앙로2가 8번지
47,생산시설,강원도 춘천시 중앙로2가 11번지
48,편의시설,강원도 춘천시 중앙로2가 14번지
49,생산시설,강원도 춘천시 중앙로2가 14-3번지
50,주거지,강원도 춘천시 중앙로3가 23번지
51,주거지,강원도 춘천시 중앙로3가 23-1번지
52,주거지,강원도 춘천시 중앙로3가 23-2번지
53,주거지,강원도 춘천시 중앙로3가 23-4번지
54,주거지,강원도 춘천시 중앙로3가 23-5번지
55,주거지,강원도 춘천시 중앙로3가 23-6번지
56,주거지,강원도 춘천시 중앙로3가 23-8번지
57,주거지,강원도 춘천시 중앙로3가 23-9번지
58,주거지,강원도 춘천시 중앙로3가 23-11번지
59,주거지,강원도 춘천시 중앙로3가 23-12번지
60,편의시설,강원도 춘천시 옥천동 1번지
61,교육연구시설,강원도 춘천시 옥천동 1-1번지
70,주거지,강원도 춘천시 조양동 1-8번지
71,주거지,강원도 춘천시 조양동 2-1번지
72,주거지,강원도 춘천시 조양동 2-3번지
73,주거지,강원도 춘천시 조양동 3-6번지
74,주거지,강원도 춘천시 조양동 3-9번지
75,주거지,강원도 춘천시 조양동 3-14번지
76,주거지,강원도 춘천시 조양동 3-15번지
77,편의시설,강원도 춘천시 조양동 3-18번지
78,주거지,강원도 춘천시 조양동 3-21번지
79,주거지,강원도 춘천시 조양동 3-23번지
80,주거지,강원도 춘천시 죽림동 3-15번지
81,주거지,강원도 춘천시 죽림동 4-1번지
82,주거지,강원도 춘천시 죽림동 4-4번지
83,주거지,강원도 춘천시 죽림동 4-6번지
84,편의시설,강원도 춘천시 죽림동 4-12번지
86,편의시설,강원도 춘천시 죽림동 4-14번지
87,편의시설,강원도 춘천시 죽림동 4-15번지
88,주거지,강원도 춘천시 죽림동 4-21번지
90,주거지,강원도 춘천시 운교동 4번지
91,주거지,강원도 춘천시 운교동 8번지
92,주거지,강원도 춘천시 운교동 9번지
93,주거지,강원도 춘천시 운교동 25번지
94,편의시설,강원도 춘천시 운교동 29-37번지
95,주거지,강원도 춘천시 운교동 30-1번지
96,주거지,강원도 춘천시 운교동 30-2번지
97,주거지,강원도 춘천시 운교동 30-3번지
98,주거지,강원도 춘천시 운교동 30-5번지
99,주거지,강원도 춘천시 운교동 30-7번지
100,교육연구시설,강원도 춘천시 약사동 1번지
109,주거지,강원도 춘천시 약사동 1-1번지
110,주거지,강원도 춘천시 효자동 3-1번지
111,주거지,강원도 춘천시 효자동 3-3번지
112,주거지,강원도 춘천시 효자동 5-3번지
113,편의시설,강원도 춘천시 효자동 11-1번지
114,편의시설,강원도 춘천시 효자동 11-2번지
115,편의시설,강원도 춘천시 효자동 11-4번지
116,편의시설,강원도 춘천시 효자동 15-3번지
117,편의시설,강원도 춘천시 효자동 15-6번지
118,편의시설,강원도 춘천시 효자동 15-7번지
119,편의시설,강원도 춘천시 효자동 15-8번지
120,주거지,강원도 춘천시 소양로1가 2번지
121,주거지,강원도 춘천시 소양로1가 4-3번지
122,주거지,강원도 춘천시 소양로1가 4-7번지
123,주거지,강원도 춘천시 소양로1가 5번지
124,주거지,강원도 춘천시 소양로1가 5-1번지
125,주거지,강원도 춘천시 소양로1가 5-2번지
126,주거지,강원도 춘천시 소양로1가 5-3번지
127,주거지,강원도 춘천시 소양로1가 5-4번지
128,편의시설,강원도 춘천시 소양로1가 5-5번지
130,주거지,강원도 춘천시 소양로2가 1번지
139,주거지,강원도 춘천시 소양로2가 1-1번지
140,주거지,강원도 춘천시 소양로3가 1-1번지
141,주거지,강원도 춘천시 소양로3가 1-3번지
142,주거지,강원도 춘천시 소양로3가 4번지
144,주거지,강원도 춘천시 소양로3가 5-1번지
145,주거지,강원도 춘천시 소양로3가 5-2번지
146,주거지,강원도 춘천시 소양로3가 6번지
147,편의시설,강원도 춘천시 소양로3가 8-1번지
148,편의시설,강원도 춘천시 소양로3가 8-3번지
149,주거지,강원도 춘천시 소양로3가 9-1번지
150,주거지,강원도 춘천시 소양로4가 1-1번지
151,주거지,강원도 춘천시 소양로4가 1-3번지
152,편의시설,강원도 춘천시 소양로4가 1-4번지
153,주거지,강원도 춘천시 소양로4가 1-6번지
154,주거지,강원도 춘천시 소양로4가 1-9번지
155,주거지,강원도 춘천시 소양로4가 10-3번지
156,주거지,강원도 춘천시 소양로4가 12-4번지
157,주거지,강원도 춘천시 소양로4가 36번지
158,님비시설,강원도 춘천시 소양로4가 40번지
160,주거지,강원도 춘천시 근화동 1번지
161,주거지,강원도 춘천시 근화동 6번지
162,주거지,강원도 춘천시 근화동 12번지
163,주거지,강원도 춘천시 근화동 15-3번지
164,주거지,강원도 춘천시 근화동 17-4번지
165,주거지,강원도 춘천시 근화동 22-3번지
166,주거지,강원도 춘천시 근화동 34번지
167,주거지,강원도 춘천시 근화동 35번지
168,주거지,강원도 춘천시 근화동 64번지
169,주거지,강원도 춘천시 근화동 65번지
170,주거지,강원도 춘천시 우두동
171,편의시설,강원도 춘천시 우두동 5-1번지
176,편의시설,강원도 춘천시 우두동 7-1번지
177,주거지,강원도 춘천시 우두동 9번지
178,주거지,강원도 춘천시 우두동 9-7번지
179,주거지,강원도 춘천시 우두동 9-9번지
180,주거지,강원도 춘천시 사농동
181,주거지,강원도 춘천시 사농동 16-6번지
182,주거지,강원도 춘천시 사농동 16-11번지
183,주거지,강원도 춘천시 사농동 16-12번지
184,주거지,강원도 춘천시 사농동 18-1번지
186,주거지,강원도 춘천시 사농동 19-5번지
187,주거지,강원도 춘천시 사농동 24-6번지
188,주거지,강원도 춘천시 사농동 25번지
