,주용도코드명,대지위치
0,교육연구시설,세종특별자치시  반곡동 42-9번지
1,주거지,세종특별자치시  반곡동 146-75번지
2,농축산업시설,세종특별자치시  반곡동 146-79번지
3,농축산업시설,세종특별자치시  반곡동 146-79번지
4,창고시설,세종특별자치시  반곡동 146-79번지
5,교육연구시설,세종특별자치시  반곡동 180-1번지
6,주거지,세종특별자치시  반곡동 203-38번지
7,주거지,세종특별자치시  반곡동 203-39번지
8,주거지,세종특별자치시  반곡동 203-127번지
9,주거지,세종특별자치시  반곡동 203-189번지
10,주거지,세종특별자치시  소담동 9-60번지
11,주거지,세종특별자치시  소담동 9-61번지
12,주거지,세종특별자치시  소담동 9-63번지
13,편의시설,세종특별자치시  소담동 9-66번지
14,편의시설,세종특별자치시  소담동 9-66번지
15,주거지,세종특별자치시  소담동 9-128번지
16,주거지,세종특별자치시  소담동 9-130번지
17,주거지,세종특별자치시  소담동 10-1번지
18,주거지,세종특별자치시  소담동 11번지
19,생산시설,세종특별자치시  소담동 11번지
20,창고시설,세종특별자치시  보람동 40번지
21,편의시설,세종특별자치시  보람동 40번지
22,생산시설,세종특별자치시  보람동 40번지
23,주거지,세종특별자치시  보람동 70-8번지
24,창고시설,세종특별자치시  보람동 700-33번지
25,편의시설,세종특별자치시  보람동 703번지
26,편의시설,세종특별자치시  보람동 704번지
27,편의시설,세종특별자치시  보람동 705번지
28,편의시설,세종특별자치시  보람동 706번지
29,편의시설,세종특별자치시  보람동 707번지
30,창고시설,세종특별자치시  대평동 65-10번지
31,편의시설,세종특별자치시  대평동 65-17번지
32,편의시설,세종특별자치시  대평동 645번지
33,자원순환관련시설,세종특별자치시  대평동 646번지
34,자원순환관련시설,세종특별자치시  대평동 646번지
35,자원순환관련시설,세종특별자치시  대평동 647번지
36,자동차관련시설,세종특별자치시  대평동 649번지
37,자동차관련시설,세종특별자치시  대평동 649번지
38,자동차관련시설,세종특별자치시  대평동 649번지
39,자동차관련시설,세종특별자치시  대평동 649번지
40,편의시설,세종특별자치시  가람동 3번지
41,편의시설,세종특별자치시  가람동 3번지
42,편의시설,세종특별자치시  가람동 3번지
43,생산시설,세종특별자치시  가람동 512-2번지
44,생산시설,세종특별자치시  가람동 512-2번지
45,생산시설,세종특별자치시  가람동 512-2번지
46,생산시설,세종특별자치시  가람동 512-2번지
47,생산시설,세종특별자치시  가람동 512-2번지
48,생산시설,세종특별자치시  가람동 512-2번지
49,생산시설,세종특별자치시  가람동 512-2번지
50,주거지,세종특별자치시  한솔동 867번지
51,주거지,세종특별자치시  한솔동 869번지
52,주거지,세종특별자치시  한솔동 871번지
53,주거지,세종특별자치시  한솔동 872번지
54,주거지,세종특별자치시  한솔동 875번지
55,주거지,세종특별자치시  한솔동 876번지
56,주거지,세종특별자치시  한솔동 887번지
57,주거지,세종특별자치시  한솔동 891번지
58,주거지,세종특별자치시  한솔동 892번지
59,주거지,세종특별자치시  한솔동 898번지
60,편의시설,세종특별자치시  나성동 42-1번지
61,주거지,세종특별자치시  나성동 61-2번지
62,주거지,세종특별자치시  나성동 62-1번지
63,주거지,세종특별자치시  나성동 62-4번지
64,주거지,세종특별자치시  나성동 64-1번지
65,주거지,세종특별자치시  나성동 64-2번지
66,주거지,세종특별자치시  나성동 64-2번지
67,주거지,세종특별자치시  나성동 69-2번지
68,주거지,세종특별자치시  나성동 70번지
69,주거지,세종특별자치시  나성동 70-1번지
70,님비시설,세종특별자치시  새롬동 341-23번지
71,생산시설,세종특별자치시  새롬동 549번지
72,편의시설,세종특별자치시  새롬동 550번지
73,편의시설,세종특별자치시  새롬동 550번지
74,편의시설,세종특별자치시  새롬동 550번지
75,편의시설,세종특별자치시  새롬동 550번지
76,교육연구시설,세종특별자치시  새롬동 552번지
77,교육연구시설,세종특별자치시  새롬동 552번지
78,주거지,세종특별자치시  새롬동 554번지
79,주거지,세종특별자치시  새롬동 554번지
80,자동차관련시설,세종특별자치시  다정동 7-5번지
81,생산시설,세종특별자치시  다정동 393-1번지
82,생산시설,세종특별자치시  다정동 397-2번지
83,생산시설,세종특별자치시  다정동 397-2번지
84,생산시설,세종특별자치시  다정동 397-2번지
85,생산시설,세종특별자치시  다정동 397-2번지
86,생산시설,세종특별자치시  다정동 397-2번지
87,생산시설,세종특별자치시  다정동 397-2번지
88,생산시설,세종특별자치시  다정동 397-2번지
89,생산시설,세종특별자치시  다정동 397-2번지
90,주거지,세종특별자치시  어진동 20-57번지
91,농축산업시설,세종특별자치시  어진동 20-62번지
92,주거지,세종특별자치시  어진동 20-62번지
93,농축산업시설,세종특별자치시  어진동 20-62번지
94,주거지,세종특별자치시  어진동 20-62번지
95,주거지,세종특별자치시  어진동 20-62번지
96,주거지,세종특별자치시  어진동 20-64번지
97,주거지,세종특별자치시  어진동 20-64번지
98,주거지,세종특별자치시  어진동 20-64번지
99,주거지,세종특별자치시  어진동 20-64번지
100,편의시설,세종특별자치시  종촌동 160번지
101,생산시설,세종특별자치시  종촌동 638번지
102,주거지,세종특별자치시  종촌동 640번지
103,주거지,세종특별자치시  종촌동 640번지
104,주거지,세종특별자치시  종촌동 640번지
105,주거지,세종특별자치시  종촌동 640번지
106,주거지,세종특별자치시  종촌동 640번지
107,주거지,세종특별자치시  종촌동 640번지
108,주거지,세종특별자치시  종촌동 640번지
109,주거지,세종특별자치시  종촌동 640번지
110,교육연구시설,세종특별자치시  고운동 470-5번지
111,생산시설,세종특별자치시  고운동 748-2번지
112,자원순환관련시설,세종특별자치시  고운동 819번지
113,자원순환관련시설,세종특별자치시  고운동 819번지
114,자원순환관련시설,세종특별자치시  고운동 819번지
115,자원순환관련시설,세종특별자치시  고운동 819번지
116,자원순환관련시설,세종특별자치시  고운동 819번지
117,편의시설,세종특별자치시  고운동 821번지
118,편의시설,세종특별자치시  고운동 821번지
119,편의시설,세종특별자치시  고운동 821번지
120,주거지,세종특별자치시  아름동 123번지
121,농축산업시설,세종특별자치시  아름동 138-2번지
122,농축산업시설,세종특별자치시  아름동 138-2번지
123,생산시설,세종특별자치시  아름동 361-1번지
124,주거지,세종특별자치시  아름동 592번지
125,편의시설,세종특별자치시  아름동 804번지
126,편의시설,세종특별자치시  아름동 804번지
127,편의시설,세종특별자치시  아름동 804번지
128,편의시설,세종특별자치시  아름동 804번지
129,편의시설,세종특별자치시  아름동 804번지
130,주거지,세종특별자치시  도담동 16-2번지
