"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
154-1-000001,3공단로25길인근,공영,노상,대구광역시 북구 3공단로 123,대구광역시 북구 노원동3가 191-1,6,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.89777007,128.5654103,2022-07-25
154-1-000002,3공단로인근,공영,노상,,대구광역시 북구 노원동3가 14,329,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시청,053-803-4882,35.89890754,128.5694939,2022-07-25
154-1-000003,검단동로인근,공영,노상,,대구광역시 북구 검단동 745-2,29,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.91386279,128.6252151,2022-07-25
154-1-000004,경대로17길인근,공영,노상,,대구광역시 북구 복현동 573,78,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.88901082,128.6143217,2022-07-25
154-1-000005,경대로23길인근,공영,노상,대구광역시 북구 경대로23길 79,대구광역시 북구 복현동 606-34,5,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.89263537,128.6160279,2022-07-25
154-1-000006,경대로27길인근,공영,노상,대구광역시 북구 경진로남1길 33,대구광역시 북구 복현동 433-1,8,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.89380025,128.6173543,2022-07-25
154-1-000007,경대로5길인근,공영,노상,대구광역시 북구 경대로5길 4,대구광역시 북구 대현동 14-1,33,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.88474855,128.6131925,2022-07-25
154-1-000008,경대로7길인근,공영,노상,대구광역시 북구 대현로9길 20-1,대구광역시 북구 대현동 526,19,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.88659565,128.6055917,2022-07-25
154-1-000009,경대북문건너,공영,노상,대구광역시 북구 대학로 51,대구광역시 북구 산격동 1499-2,46,2,미시행,평일+토요일+공휴일,09:00,19:00,09:00,23:59,00:00,23:59,유료,30,600,10,300,,,,,,대구광역시청,053-803-4882,35.891244,128.6062891,2022-07-25
154-1-000010,경진로1길인근,공영,노상,,대구광역시 북구 복현동 623,15,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.89526277,128.6213799,2022-07-25
