주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
156-2-000001,상인1공영주차장,공영,노외,대구광역시 달서구 상화북로 196-6,대구광역시 달서구 상인동 1553,84,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,30,300.0,10.0,150.0,3.5,3000.0,40000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.81298632,128.5470576,2022-05-31
156-2-000003,능금공원(두류공영)주차장,공영,노외,대구광역시 달서구 명덕로2길 57 (두류동),대구광역시 달서구 두류동 1213,33,3,미시행,평일+토요일+공휴일,06:00,23:00,06:00,23:00,06:00,23:00,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.85950078,128.5709285,2022-05-31
156-2-000004,상인2공영주차장,공영,노외,대구광역시 달서구 상인서로 8-3,대구광역시 달서구 상인동 1528-4,65,2,미시행,평일+토요일+공휴일,06:00,23:00,09:00,20:00,09:00,20:00,유료,30,400.0,10.0,200.0,3.5,4000.0,50000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+요일제 20퍼센트 할인+성실납세자 면제,대구광역시 시설관리공단,053-603-1195,35.81216524,128.547007,2022-05-31
156-2-000005,용산1공영주차장,공영,노외,대구광역시 달서구 달구벌대로301길 173,대구광역시 달서구 용산동 933-4,73,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,00:00,23:59,혼합,30,300.0,10.0,150.0,3.5,3000.0,40000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.85750073,128.5313418,2022-05-31
156-2-000006,용산2공영주차장,공영,노외,대구광역시 달서구 용산서로 10,대구광역시 달서구 용산동 931-4,83,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,00:00,23:59,혼합,30,300.0,10.0,150.0,3.5,3000.0,40000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.85778569,128.5295581,2022-05-31
156-2-000007,장기공영주차장,공영,노외,대구광역시 달서구 장기로 277,대구광역시 달서구 장기동 817-1,24,2,미시행,평일+토요일+공휴일,11:00,20:00,00:00,23:59,00:00,23:59,혼합,30,300.0,10.0,150.0,3.5,3000.0,40000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.84334947,128.5299748,2022-05-31
156-2-000008,본리1공영주차장,공영,노외,대구광역시 달서구 용산로 49,대구광역시 달서구 본리동 1196,58,2,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,00:00,23:59,혼합,30,300.0,10.0,150.0,3.5,3000.0,40000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.84171859,128.5304009,2022-05-31
156-2-000009,본리2공영주차장,공영,노외,대구광역시 달서구 대명천로 284,대구광역시 달서구 본리동 1196,62,2,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,00:00,23:59,혼합,30,300.0,10.0,150.0,3.5,3000.0,40000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.84196757,128.529237,2022-05-31
156-2-000010,진천환승공영(A구역),공영,노외,대구광역시 달서구 진천로9길 33,대구광역시 달서구 진천동 626-31,45,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.81222285,128.5228086,2022-05-31
156-2-000011,진천환승공영(B구역),공영,노외,대구광역시 달서구 진천로7길 36,대구광역시 달서구 진천동 493-7,184,3,미시행,평일+토요일+공휴일,08:00,17:00,00:00,23:59,00:00,23:59,혼합,30,200.0,10.0,100.0,3.5,2000.0,20000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.81144316,128.5233138,2022-05-31
156-2-000012,도원동마을공영주차장,공영,노외,대구광역시 달서구 상화로58길 56,대구광역시 달서구 도원동 668-10,11,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.8060227,128.5470122,2022-05-31
156-2-000013,용산역환승주차장,공영,노외,대구광역시 달서구 용산로 113,대구광역시 달서구 장기동 810-4,204,2,미시행,평일+토요일+공휴일,07:00,18:00,07:00,18:00,07:00,18:00,유료,30,300.0,10.0,150.0,3.5,3000.0,40000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.84793267,128.5297971,2022-05-31
156-2-000014,호림1공영주차장,공영,노외,대구광역시 달서구 달서대로85길 17,대구광역시 달서구 호림동 13-10,215,3,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,200.0,10.0,100.0,3.5,2000.0,20000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.83710457,128.4897346,2022-05-31
156-2-000015,호림2공영주차장,공영,노외,대구광역시 달서구 성서공단로15길 29,대구광역시 달서구 호림동 12-1,341,3,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,200.0,10.0,100.0,3.5,2000.0,20000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.83778887,128.4901451,2022-05-31
156-2-000016,호산공영주차장,공영,노외,대구광역시 달서구 달서대로95길 14,대구광역시 달서구 호산동 714-1,207,3,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,200.0,10.0,100.0,3.5,2000.0,20000.0,현금,경차 60퍼센트 할인+장애인(2시간 면제+50퍼센트 할인)+하이브리드(1600cc 이하) 50퍼센트 할인+아이조아 50퍼센트 할인,대구광역시 시설관리공단,053-603-1195,35.84221438,128.4901308,2022-05-31
156-2-000017,본동1공영주차장,공영,노외,대구광역시 달서구 학산로19길 31,대구광역시 달서구 본동 922,34,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.83366211,128.5364072,2022-05-31
156-2-000018,신당동 공영 주차장,공영,노외,대구광역시 달서구 선원로 60,대구광역시 달서구 신당동 1749-8,14,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.85896844,128.4988327,2022-05-31
156-2-000019,장기동마을공영주차장,공영,노외,대구광역시 달서구 문화회관2길 56,대구광역시 달서구 장기동 238-5,19,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.84770533,128.5187345,2022-05-31
156-2-000020,청소년수련관공영주차장,공영,노외,대구광역시 달서구 상화로 406 (상인동),대구광역시 달서구 상인동 1593,195,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.80789636,128.5582315,2022-05-31
156-2-000021,두류1·2동3공영주차장,공영,노외,대구광역시 달서구 두류남2길 15,대구광역시 달서구 두류동 1230-14,8,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.85710511,128.5734016,2022-05-31
156-2-000022,송현1동1공영주차장,공영,노외,대구광역시 달서구 송현로2길 118,대구광역시 달서구 송현동 1970-15,10,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.82507638,128.5542281,2022-05-31
156-2-000023,월곡공영주차장,공영,노외,대구광역시 달서구 송현로7길 41,대구광역시 달서구 상인동 899,59,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.81851457,128.5474369,2022-05-31
