주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
154-2-000180,1·2,공영,노외,대구광역시 북구 칠성남로 138,대구광역시 북구 칠성동2가 310-1,50,1,미시행,평일+토요일+공휴일,08:00,21:00,08:00,21:00,08:00,21:00,유료,30,1000,10.0,500.0,,,,현금,,대구광역시 북구청,053-665-3012,35.87750098,128.5952941,2022-07-25
154-2-000181,EXPO,공영,노외,,대구광역시 북구 복현동 478-5,18,2,미시행,평일+토요일+공휴일,08:00,20:00,08:00,20:00,08:00,20:00,유료,30,1000,60.0,2000.0,,10000.0,,현금,,대구광역시 북구청,053-665-3012,35.89213231,128.6214481,2022-07-25
154-2-000182,RGB Tower,공영,노외,대구광역시 북구 동천로 135-7,대구광역시 북구 동천동 903-4,52,3,미시행,평일+토요일+공휴일,12:00,21:00,12:00,23:59,00:00,23:59,유료,30,1000,60.0,1000.0,,1000.0,,현금,,대구광역시 북구청,053-665-3012,35.94355567,128.5599291,2022-07-25
154-2-000183,강북,공영,노외,대구광역시 북구 구암로32길 6-20,대구광역시 북구 구암동 653-1,16,3,미시행,평일+토요일+공휴일,06:00,21:00,06:00,21:00,06:00,21:00,유료,30,1500,10.0,200.0,,10000.0,70000.0,현금,,대구광역시 북구청,053-665-3012,35.93131704,128.5559931,2022-07-25
154-2-000184,경명여고앞,공영,노외,대구광역시 북구 칠성로17길 18 (경명여자중고등학교),대구광역시 북구 칠성동2가 385-2,40,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.88072859,128.5984327,2022-07-25
154-2-000185,공단,공영,노외,대구광역시 북구 노원로 107,대구광역시 북구 노원동3가 183-19,34,3,미시행,평일+토요일,07:00,20:00,07:00,16:00,00:00,00:00,유료,60,1500,,,,7000.0,60000.0,현금,,대구광역시 북구청,053-665-3012,35.89622155,128.5726379,2022-07-25
154-2-000186,관음(공영),공영,노외,대구광역시 북구 관음중앙로 80,대구광역시 북구 관음동 448-1,169,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,600,10.0,300.0,,6000.0,80000.0,현금,,대구광역시 북구청,053-665-3012,35.94104819,128.5446936,2022-07-25
154-2-000187,관음동 1255-14공영,공영,노외,,대구광역시 북구 관음동 1255-14,6,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.94386972,128.5445986,2022-07-25
154-2-000188,관음동1275-27공영,공영,노외,,대구광역시 북구 관음동 1275-27,6,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.94410063,128.5456678,2022-07-25
154-2-000189,관음동1284-5공영,공영,노외,,대구광역시 북구 관음동 1284-5,12,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,대구광역시 북구청,053-665-3012,35.94424575,128.5471319,2022-07-25
