주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
155-2-000001,어린이회관공영주차장,공영,노외,대구광역시 수성구 동대구로 176,대구광역시 수성구 황금동 626,199,기타,미시행,평일+토요일+공휴일,07:00,19:00,07:00,19:00,07:00,19:00,혼합,120,1000,120,2000,0,,0,카드,,대구광역시 시설공단,053-603-4058,35.84663547,128.6277931,2022-07-08
155-2-000002,지산공영주차장,공영,노외,대구광역시 수성구 용학로 267,대구광역시 수성구 지산동 1274,133,기타,미시행,평일+토요일+공휴일,08:00,23:00,08:00,23:00,08:00,23:00,혼합,120,1000,120,2000,0,,20000,카드,,대구광역시 시설공단,053-603-4058,35.82093452,128.6376141,2022-07-08
155-2-000003,시지공영주차장,공영,노외,대구광역시 수성구 달구벌대로637길 10,대구광역시 수성구 매호동 1330-2,136,기타,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,혼합,120,1000,120,2000,0,,20000,카드,,대구광역시 시설공단,053-603-4058,35.84151949,128.7073187,2022-07-08
155-2-000034,범물공영주차장,공영,노외,대구광역시 수성구 지범로 232,대구광역시 수성구 범물동 1328-2,129,기타,미시행,평일,08:30,18:30,00:00,00:00,00:00,23:59,혼합,120,1000,120,2000,0,,20000,카드,,대구광역시 시설공단,053-603-4058,35.81840654,128.6433579,2022-07-08
155-2-000004,신매1공영주차장,공영,노외,대구광역시 수성구 신매로19길 40,대구광역시 수성구 신매동 567-35,38,2,미시행,평일+토요일,10:00,21:00,10:00,21:00,00:00,23:59,혼합,30,300,10,150,0,,40000,카드,,대구광역시 시설공단,053-603-4058,35.8394418,128.707541,2022-07-08
155-2-000005,신매2공영주차장,공영,노외,대구광역시 수성구 신매로19길 56,대구광역시 수성구 신매동 567-42,55,2,미시행,평일+토요일,10:00,21:00,10:00,21:00,00:00,23:59,혼합,30,300,10,150,0,,40000,카드,,대구광역시 시설공단,053-603-4058,35.83959717,128.7066693,2022-07-08
155-2-000006,신매3공영주차장,공영,노외,대구광역시 수성구 고산로 75,대구광역시 수성구 노변동 71-1,69,2,미시행,평일+토요일,08:00,17:00,08:00,17:00,00:00,23:59,혼합,30,300,10,150,0,,40000,카드,,대구광역시 시설공단,053-603-4058,35.8374745,128.7037829,2022-07-08
155-2-000008,외환들공영주차장,공영,노외,대구광역시 수성구 미술관로 40,대구광역시 수성구 삼덕동 374,643,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,0,,0,,,대구광역시 시설공단,053-603-4058,35.82702838,128.674339,2022-07-08
155-2-000009,노변공영주차장,공영,노외,대구광역시 수성구 시지로 66,대구광역시 수성구 시지동 490,64,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,0,0.0,0,,,대구광역시 수성구청,053-666-3043,35.83808768,128.6943617,2022-07-08
155-2-000010,만촌동공영주차장1,공영,노외,대구광역시 수성구 국채보상로 1047-22,대구광역시 수성구 만촌동 668-16,5,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,0,0.0,0,,,대구광역시 수성구청,053-666-3043,35.8680799,128.6441409,2022-07-08
