주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
150-2-000001,경상감영공원주차장,공영,노외,대구광역시 중구 경상감영길 99,대구광역시 중구 포정동 21,61,1,미시행,평일+토요일+공휴일,07:30,23:00,07:30,23:00,07:30,23:00,유료,30,800.0,10.0,400.0,,8000.0,100000.0,현금+카드,,대구시설공단,053-253-6444,35.87267548,128.5916854,2022-06-02
150-2-000003,서문주차장,공영,노외,대구광역시 중구 큰장로26길 45,대구광역시 중구 대신동 115-378,642,1,미시행,평일+토요일+공휴일,07:00,22:00,07:00,22:00,07:00,22:00,유료,30,500.0,10.0,250.0,,,,현금+카드,,대구시설공단,053-255-4451,35.86890863,128.580781,2022-06-02
150-2-000005,약령시서편주차장,공영,노외,대구광역시 중구 남성로 61,대구광역시 중구 동성로3가 35-13,17,1,미시행,평일,08:00,18:00,00:00,00:00,00:00,00:00,유료,30,500.0,10.0,250.0,,5000.0,,현금+카드,,대구시설공단,053-1577-6446,35.86728621,128.5933752,2022-06-02
150-2-000007,국채보상운동기념공원주차장,공영,노외,대구광역시 중구 공평로10길 25,대구광역시 중구 동인동2가 42,507,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,600.0,10.0,300.0,,5000.0,80000.0,카드,,대구시설공단,053-426-7840,35.86844014,128.601702,2022-06-02
150-3-000006,시청광장주차장,공영,부설,대구광역시 중구 국채보상로131길 17,대구광역시 중구 동인동2가 2-1,146,1,5부제,평일,07:00,22:00,00:00,00:00,00:00,00:00,유료,30,1000.0,10.0,500.0,,10000.0,,현금+카드,,대구시설공단,053-803-5604,35.8706474,128.6018016,2022-06-02
151-2-000001,갓바위주차장,공영,노외,대구광역시 동구 갓바위로 227,대구광역시 동구 진인동 123-30,373,기타,미시행,평일+토요일+공휴일,07:00,18:00,07:00,18:00,07:00,18:00,유료,30,1000.0,,1000.0,,1000.0,,현금,월요일 휴무,대구시설공단,053-982-4857,35.9708814,128.7261682,2022-06-02
151-2-000002,공항1공영주차장,공영,노외,대구광역시 동구 해동로 6,대구광역시 동구 지저동 669-60,80,3,미시행,평일+토요일+공휴일,06:00,23:00,06:00,23:00,06:00,23:00,유료,30,400.0,10.0,200.0,,4000.0,,카드,,대구시설공단,053-982-6444,35.8974446,128.637719,2022-06-02
151-2-000003,신천3동주차장,공영,노외,대구광역시 동구 송라로14길 46-2,대구광역시 동구 신천동 281-10,25,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,500.0,10.0,250.0,,5000.0,50000.0,현금,,대구시설공단,053-1577-6446,35.874552,128.621271,2022-06-02
151-2-000019,공항2공영주차장,공영,노외,대구광역시 동구 해동로 6,대구광역시 동구 지저동 669-60,173,3,미시행,평일+토요일+공휴일,06:00,23:00,06:00,23:00,06:00,23:00,유료,30,400.0,10.0,200.0,,4000.0,,카드,,대구시설공단,053-982-6444,35.8974446,128.637719,2022-06-02
152-2-000001,인동촌시장주차장,공영,노외,대구광역시 서구 북비산로 74길 8,대구광역시 서구 비산동 71-3,44,1,미시행,평일,12:00,21:00,00:00,00:00,00:00,00:00,유료,30,1000.0,10.0,500.0,,10000.0,60000.0,현금+카드,,대구시설공단,053-1577-6446,35.87859788,128.573928,2022-06-02
