도로,mean
가오동길,922.94
가장로,1334.82
가정로,1011.29
갑천도시고속도로,3386.23
계룡로,2309.78
계백로,1805.74
계족로,1421.6
구봉로,425.52
구즉로,183.76
노은길,641.95
노은로,1146.77
대덕대로,1684.16
대둔산길,591.92
대전로,1084.29
대종로,884.18
대청길,366.03
대학로,835.35
도안대로,1117.39
도안동로,1205.87
동부순환도로,409.14
동서대로2,1617.55
동서로,2077.35
둔산대로,1794.94
문지로,411.11
문화로,703.1
배울1로,485.4
배재로,1006.97
버드내길,2333.07
벌곡길,372.85
보문로,793.69
북유성대로,3036.05
산내길,1197.34
신갈마로,870.12
신탄진로,1294.43
엑스포로,1294.07
옥천길,779.77
우암로,640.25
월드컵대로,1186.98
유성대로,2220.55
자양로,977.44
충무로,783.98
한밭대로,3085.59
한밭도서관길,711.32
현충원로,1646.04
