월,도로,mean
2021년 08월,가오동길,892.04
2021년 08월,가장로,1296.33
2021년 08월,가정로,824.21
2021년 08월,갑천도시고속도로,3212.54
2021년 08월,계룡로,2209.25
2021년 08월,계백로,1862.92
2021년 08월,계족로,1244.29
2021년 08월,구봉로,419.71
2021년 08월,구즉로,176.96
2021년 08월,노은길,649.67
2021년 08월,노은로,1085.79
2021년 08월,대덕대로,1635.62
2021년 08월,대둔산길(1),627.29
2021년 08월,대전로,980.08
2021년 08월,대종로,755.5
2021년 08월,대청길,429.12
2021년 08월,대학로(1),812.79
2021년 08월,도안대로,1041.92
2021년 08월,도안동로,1137.17
2021년 08월,동부순환도로,408.96
2021년 08월,동서대로2,1518.54
2021년 08월,동서로,2049.71
2021년 08월,둔산대로,1638.5
2021년 08월,문지로,369.5
2021년 08월,문화로,706.71
2021년 08월,배울1로,447.33
2021년 08월,배재로,954.79
2021년 08월,버드내길,2294.54
2021년 08월,벌곡길,392.08
2021년 08월,보문로,793.62
2021년 08월,북유성대로,2969.5
2021년 08월,산내길,1182.17
2021년 08월,신갈마로,863.62
2021년 08월,신탄진로,1253.62
2021년 08월,엑스포로,1209.04
2021년 08월,옥천길,763.0
2021년 08월,우암로,618.17
2021년 08월,월드컵대로,1184.92
2021년 08월,유성대로,1314.17
2021년 08월,자양로,958.62
2021년 08월,충무로,860.17
2021년 08월,한밭대로,2965.96
2021년 08월,한밭도서관길,707.08
2021년 08월,현충원로,1654.5
2021년 09월,가오동길,951.12
2021년 09월,가장로,1368.62
2021년 09월,가정로,897.04
2021년 09월,갑천도시고속도로,3391.71
2021년 09월,계룡로,2251.92
2021년 09월,계백로,1975.54
2021년 09월,계족로,1381.46
2021년 09월,구봉로,445.92
2021년 09월,구즉로,189.54
2021년 09월,노은길,677.29
2021년 09월,노은로,1163.38
2021년 09월,대덕대로,1673.21
2021년 09월,대둔산길(1),623.25
2021년 09월,대전로,1044.75
2021년 09월,대종로,845.75
2021년 09월,대청길,431.71
2021년 09월,대학로(1),833.21
2021년 09월,도안대로,1070.54
2021년 09월,도안동로,1163.62
2021년 09월,동부순환도로,419.71
2021년 09월,동서대로2,1619.83
2021년 09월,동서로,2428.12
2021년 09월,둔산대로,1680.71
2021년 09월,문지로,387.71
2021년 09월,문화로,748.42
2021년 09월,배울1로,506.79
2021년 09월,배재로,1019.21
2021년 09월,버드내길,2406.33
2021년 09월,벌곡길,407.04
2021년 09월,보문로,797.92
2021년 09월,북유성대로,2968.25
2021년 09월,산내길,1254.67
2021년 09월,신갈마로,898.42
2021년 09월,신탄진로,1314.21
2021년 09월,엑스포로,1252.5
2021년 09월,옥천길,816.5
2021년 09월,우암로,665.5
2021년 09월,월드컵대로,1192.38
2021년 09월,유성대로,1432.46
2021년 09월,자양로,1013.71
2021년 09월,충무로,912.67
2021년 09월,한밭대로,3094.0
2021년 09월,한밭도서관길,750.62
2021년 09월,현충원로,1675.58
2021년 10월,가오동길,951.12
2021년 10월,가장로,1368.62
2021년 10월,가정로,897.04
2021년 10월,갑천도시고속도로,3391.71
2021년 10월,계룡로,2251.92
2021년 10월,계백로,1975.54
2021년 10월,계족로,1381.46
2021년 10월,구봉로,445.92
2021년 10월,구즉로,189.54
2021년 10월,노은길,677.29
2021년 10월,노은로,1163.38
2021년 10월,대덕대로,1673.21
2021년 10월,대둔산길(1),623.25
2021년 10월,대전로,1044.75
2021년 10월,대종로,845.75
2021년 10월,대청길,431.71
2021년 10월,대학로(1),833.21
2021년 10월,도안대로,1070.54
2021년 10월,도안동로,1163.62
2021년 10월,동부순환도로,419.71
2021년 10월,동서대로2,1619.83
2021년 10월,동서로,2428.12
2021년 10월,둔산대로,1680.71
2021년 10월,문지로,387.71
2021년 10월,문화로,748.42
2021년 10월,배울1로,506.79
2021년 10월,배재로,1019.21
2021년 10월,버드내길,2406.33
2021년 10월,벌곡길,407.04
2021년 10월,보문로,797.92
2021년 10월,북유성대로,2968.25
2021년 10월,산내길,1254.67
2021년 10월,신갈마로,898.42
2021년 10월,신탄진로,1314.21
2021년 10월,엑스포로,1252.5
2021년 10월,옥천길,816.5
2021년 10월,우암로,665.5
2021년 10월,월드컵대로,1192.38
2021년 10월,유성대로,1432.46
2021년 10월,자양로,1013.71
2021년 10월,충무로,912.67
2021년 10월,한밭대로,3094.0
2021년 10월,한밭도서관길,750.62
2021년 10월,현충원로,1675.58
2021년 11월,가오동길,972.79
2021년 11월,가장로,1387.38
2021년 11월,가정로,1160.04
2021년 11월,갑천도시고속도로,3602.04
2021년 11월,계룡로,2460.75
2021년 11월,계백로,1866.58
2021년 11월,계족로,1497.0
2021년 11월,구봉로,456.79
2021년 11월,구즉로,196.67
2021년 11월,노은길,696.5
2021년 11월,노은로,1259.17
2021년 11월,대덕대로,1789.38
2021년 11월,대둔산길(1),629.54
2021년 11월,대전로,1125.62
2021년 11월,대종로,974.04
2021년 11월,대청길,410.0
2021년 11월,대학로(1),867.04
2021년 11월,도안대로,1139.58
2021년 11월,도안동로,1138.0
2021년 11월,동부순환도로,429.62
2021년 11월,동서대로2,1748.42
2021년 11월,동서로,2056.83
2021년 11월,둔산대로,1980.29
2021년 11월,문지로,427.58
2021년 11월,문화로,743.88
2021년 11월,배울1로,534.25
2021년 11월,배재로,1034.21
2021년 11월,버드내길,2537.5
2021년 11월,벌곡길,395.96
2021년 11월,보문로,827.33
2021년 11월,북유성대로,3250.42
2021년 11월,산내길,1263.12
2021년 11월,신갈마로,908.12
2021년 11월,신탄진로,1366.88
2021년 11월,엑스포로,1388.21
2021년 11월,옥천길,771.71
2021년 11월,우암로,657.04
2021년 11월,월드컵대로,1262.54
2021년 11월,유성대로,1507.12
2021년 11월,자양로,1030.62
2021년 11월,충무로,805.04
2021년 11월,한밭대로,3256.67
2021년 11월,한밭도서관길,739.08
2021년 11월,현충원로,1708.12
2021년 12월,가오동길,928.12
2021년 12월,가장로,1361.29
2021년 12월,가정로,1113.75
2021년 12월,갑천도시고속도로,3422.67
2021년 12월,계룡로,2387.96
2021년 12월,계백로,1767.12
2021년 12월,계족로,1464.88
2021년 12월,구봉로,435.54
2021년 12월,구즉로,191.92
2021년 12월,노은길,672.0
2021년 12월,노은로,1203.04
2021년 12월,대덕대로,1731.88
2021년 12월,대둔산길(1),542.92
2021년 12월,대전로,1095.38
2021년 12월,대종로,918.88
2021년 12월,대청길,349.33
2021년 12월,대학로(1),864.58
2021년 12월,도안대로,1145.46
2021년 12월,도안동로,1183.38
2021년 12월,동부순환도로,399.96
2021년 12월,동서대로2,1702.92
2021년 12월,동서로,2041.12
2021년 12월,둔산대로,1943.0
2021년 12월,문지로,428.38
2021년 12월,문화로,716.75
2021년 12월,배울1로,520.33
2021년 12월,배재로,1021.71
2021년 12월,버드내길,2436.88
2021년 12월,벌곡길,332.33
2021년 12월,보문로,804.83
2021년 12월,북유성대로,3139.29
2021년 12월,산내길,1165.5
2021년 12월,신갈마로,886.79
2021년 12월,신탄진로,1300.79
2021년 12월,엑스포로,1379.62
