소재지도로명주소,주차장명,주차장구분,주차장유형,주차구획수,위도,경도
세종특별자치시 보듬3로 104-7,아름주차장,민영,부설,54,36.512321,127.248429
세종특별자치시 보듬3로 8-37,원프라자,민영,부설,107,36.515574,127.257844
세종특별자치시 보듬3로 8-5,도담프라자,민영,부설,127,36.512822,127.258317
세종특별자치시 새롬중앙로 63,온누리타워,민영,부설,50,36.48653674,127.2502536
세종특별자치시 새롬중앙로 41,무지개타워,민영,부설,231,36.48453411,127.2512337
세종특별자치시 다정중앙로 46,케이티온,민영,부설,63,36.49447197,127.2493067
세종특별자치시 노을3로 99,골든타워 주차장,민영,부설,39,36.47983174,127.2538476
세종특별자치시 노을3로 80,영마트 주차장,민영,부설,52,36.47900269,127.2555276
세종특별자치시 노을3로 25,세종프라자 주차장,민영,부설,46,36.48085088,127.2593277
세종특별자치시 도움8로 11-11,어진프라자 주차장,민영,부설,221,36.50749212,127.2628726
세종특별자치시 한누리대로 193,행정중심복합도시 2생활권 환승주차장1,공영,부설,270,36.48208111,127.2605013
세종특별자치시 한누리대로 194,행정중심복합도시 2생활권 환승주차장2,공영,부설,270,36.48238201,127.2613638
세종특별자치시 보듬3로 105,세종시 아름동 공영주차장,공영,부설,236,36.511399,127.247864
세종특별자치시 달빛로 53,세종시 종촌동 공영주차장,공영,부설,160,36.503746,127.249706
세종특별자치시 고운서길 15,하모니타워Ⅰ 주차장,민영,부설,38,36.5056303,127.234348
세종특별자치시 마음로 272-28,하모니타워Ⅱ 주차장,민영,부설,43,36.519271,127.235505
세종특별자치시 나리2로,나성동 노상주차장,공영,노상,40,36.4811792,127.2586389
세종특별자치시 보듬3로,도담동 노상주차장,공영,노상,13,,
세종특별자치시 조치원읍 새내로 99,조치원주차타워,공영,노외,200,36.60063524,127.297778
세종특별자치시 조치원읍 조치원6길 38,전통시장주차장,공영,노외,71,36.59976211,127.2995816
세종특별자치시 조치원읍 장안길 14,이벤트광장,공영,노외,25,36.59986255,127.3000256
세종특별자치시 보듬3로 105,아름동공영주차장,공영,노외,236,36.51139731,127.2478657
세종특별자치시 달빛로 53,종촌동공영주차장,공영,노외,160,36.50374844,127.2497076
세종특별자치시 조치원읍 행복5길7,침산리16,공영,노외,23,36.60482476,127.2905834
세종특별자치시 조치원읍 행복6길 16,침산리17,공영,노외,21,36.6050543,127.2912966
세종특별자치시 조치원읍 행복13길 5,침산리18,공영,노외,19,36.60417652,127.2937302
세종특별자치시 조치원읍 돌마루5길 27,서창리1,공영,노외,12,36.60800373,127.2932371
세종특별자치시 부강면 부강5길 19,부강면1,공영,노외,7,36.52885835,127.3687403
세종특별자치시 부강면 부강5길 18,부강면2,공영,노외,16,36.5285002,127.3688884
세종특별자치시 부강면 태산길 17,부강면3,공영,노외,19,36.52813959,127.3691593
세종특별자치시 부강면 시장길 20,부강면4,공영,노외,9,36.52848904,127.3687768
세종특별자치시 부강면 부강리 434-30,부강면5,공영,노외,21,36.52840053,127.3672701
세종특별자치시 연동면 내송길 6,연동면1,공영,노상,10,36.55783181,127.3257093
